ID-model,GO:0005575,GO:0045202,GO:0044456,GO:0097458,GO:0031410,GO:0005739,GO:0031981,GO:0042995,GO:0005829,GO:0070013,GO:0043233,GO:0031974,GO:0044428,GO:0048471,GO:0044459,GO:0009986,GO:0044427,GO:0044430,GO:0005694,GO:0005912,GO:0000785,GO:0005856,GO:0005576,GO:0043228,GO:0043232,GO:0070161,GO:0044421,GO:0005783,GO:0005634,GO:0043234,GO:0005730,GO:0030055,GO:0030054,GO:0032991,GO:0044425,GO:0005886,GO:0005794,GO:0071944,GO:0005925,GO:0005789,GO:0005924,GO:0042175,GO:0005615,GO:0044444,GO:0044422,GO:0031988,GO:0031982,GO:0005768,GO:0044446,GO:0044424,GO:0043231,GO:0005622,GO:0043229,GO:0043226,GO:0043227,GO:0005737,GO:0065010,GO:0043230,GO:0070062,GO:0005623,GO:0044464,GO:0044432,GO:0016020,GO:0031090,GO:0012505,GO:0005654
120-3,NaN,0.50,0.50,0.50,0.54,0.85,0.77,0.50,0.56,0.75,0.75,0.75,0.75,0.50,0.57,0.59,0.50,0.50,0.59,0.50,0.50,0.51,0.57,0.58,0.58,0.50,0.57,0.74,0.72,0.67,0.68,0.50,0.50,0.67,0.61,0.63,0.54,0.62,0.50,0.54,0.50,0.57,0.56,0.65,0.63,0.50,0.51,0.61,0.63,0.65,0.66,0.65,0.66,0.53,0.53,0.56,0.50,0.50,0.50,0.56,0.56,0.53,0.61,0.62,0.58,0.81
121-1,NaN,0.94,0.84,0.71,0.71,0.89,0.61,0.61,0.49,0.60,0.60,0.60,0.62,0.50,0.49,0.50,0.73,0.65,0.73,0.55,0.71,0.68,0.58,0.70,0.70,0.55,0.52,0.68,0.79,0.61,0.73,0.55,0.55,0.60,0.68,0.54,0.62,0.53,0.55,0.63,0.55,0.63,0.54,0.69,0.69,0.50,0.50,0.63,0.69,0.68,0.73,0.68,0.71,0.58,0.58,0.65,0.50,0.50,0.50,0.60,0.60,0.62,0.64,0.75,0.74,0.55
121-2,NaN,NaN,NaN,NaN,NaN,1.00,0.48,0.50,NaN,0.48,0.48,0.48,0.48,NaN,NaN,NaN,0.50,NaN,0.50,NaN,0.50,NaN,0.50,0.48,0.48,NaN,0.50,NaN,0.42,NaN,NaN,NaN,NaN,0.45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.50,0.93,0.45,0.53,0.53,NaN,0.45,0.87,0.39,0.87,0.39,0.27,0.27,0.78,0.50,0.50,0.50,0.88,0.88,NaN,0.78,NaN,NaN,NaN
121-3,NaN,0.94,0.83,0.70,0.71,0.88,0.68,0.72,0.48,0.66,0.66,0.66,0.67,0.49,0.48,0.50,0.76,0.66,0.75,0.55,0.74,0.69,0.59,0.72,0.72,0.55,0.53,0.66,0.79,0.60,0.75,0.55,0.55,0.59,0.65,0.59,0.61,0.59,0.55,0.56,0.55,0.56,0.56,0.73,0.72,0.50,0.50,0.67,0.71,0.70,0.76,0.69,0.72,0.59,0.58,0.67,0.50,0.50,0.50,0.61,0.61,0.57,0.62,0.73,0.73,0.55
122-1,NaN,0.94,0.88,0.57,0.78,0.90,0.58,0.66,0.52,0.58,0.58,0.58,0.58,0.49,0.58,0.50,0.70,0.78,0.70,0.50,0.68,0.75,0.55,0.66,0.66,0.50,0.53,0.57,0.74,0.64,0.62,0.50,0.49,0.63,0.57,0.59,0.54,0.58,0.50,0.49,0.50,0.49,0.55,0.67,0.66,0.51,0.51,0.62,0.66,0.66,0.71,0.67,0.69,0.59,0.57,0.62,0.50,0.50,0.50,0.61,0.61,0.49,0.63,0.51,0.48,0.53
124-1,NaN,0.96,0.93,0.94,0.73,0.70,0.81,0.71,0.55,0.76,0.76,0.76,0.77,0.74,0.55,0.59,0.69,0.53,0.69,0.78,0.66,0.52,0.54,0.50,0.50,0.76,0.52,0.63,0.48,0.58,0.63,0.75,0.63,0.57,0.38,0.57,0.65,0.58,0.72,0.73,0.75,0.73,0.52,0.46,0.50,0.51,0.53,0.74,0.50,0.41,0.41,0.41,0.41,0.46,0.46,0.44,0.53,0.53,0.53,0.43,0.43,0.70,0.43,0.57,0.50,0.80
124-2,NaN,0.62,0.58,0.60,0.51,0.39,0.69,0.56,0.47,0.68,0.68,0.68,0.65,0.50,0.54,0.50,0.64,0.50,0.64,0.54,0.61,0.53,0.48,0.41,0.41,0.54,0.50,0.45,0.50,0.48,0.44,0.54,0.53,0.50,0.40,0.49,0.53,0.47,0.54,0.68,0.54,0.68,0.50,0.34,0.44,0.50,0.50,0.46,0.45,0.39,0.37,0.39,0.38,0.44,0.45,0.39,0.50,0.50,0.50,0.42,0.42,0.64,0.42,0.42,0.41,0.50
124-3,NaN,0.96,0.93,0.94,0.79,0.69,0.76,0.71,0.55,0.56,0.56,0.56,0.67,0.74,0.51,0.60,0.55,0.49,0.56,0.78,0.54,0.48,0.53,0.46,0.46,0.75,0.52,0.56,0.42,0.53,0.63,0.67,0.63,0.51,0.39,0.55,0.55,0.56,0.65,0.53,0.68,0.53,0.51,0.45,0.44,0.51,0.52,0.67,0.44,0.37,0.36,0.37,0.37,0.44,0.44,0.44,0.53,0.53,0.53,0.40,0.40,0.53,0.39,0.58,0.51,0.80
125-1,NaN,0.99,0.95,0.88,0.77,0.86,0.68,0.72,0.74,0.66,0.66,0.66,0.69,0.50,0.57,0.54,0.70,0.77,0.69,0.54,0.68,0.73,0.60,0.72,0.72,0.53,0.57,0.76,0.76,0.69,0.77,0.54,0.52,0.66,0.65,0.66,0.70,0.66,0.54,0.74,0.54,0.74,0.58,0.73,0.70,0.51,0.52,0.71,0.69,0.65,0.69,0.64,0.68,0.57,0.55,0.65,0.50,0.50,0.50,0.57,0.57,0.73,0.63,0.77,0.75,0.56
125-2,NaN,0.99,0.99,0.76,0.84,0.85,0.76,0.76,0.71,0.74,0.74,0.73,0.74,0.69,0.75,0.68,0.78,0.74,0.78,0.55,0.73,0.71,0.62,0.76,0.76,0.54,0.60,0.73,0.72,0.69,0.74,0.57,0.57,0.70,0.66,0.62,0.71,0.64,0.57,0.68,0.57,0.68,0.57,0.66,0.63,0.54,0.55,0.79,0.63,0.59,0.64,0.59,0.62,0.49,0.49,0.60,0.52,0.52,0.52,0.55,0.55,0.67,0.64,0.71,0.70,0.52
125-3,NaN,0.97,0.97,0.85,0.83,0.85,0.84,0.79,0.70,0.81,0.81,0.80,0.78,0.71,0.77,0.68,0.71,0.71,0.70,0.64,0.72,0.63,0.67,0.68,0.68,0.62,0.66,0.70,0.64,0.68,0.72,0.67,0.55,0.66,0.70,0.64,0.62,0.63,0.69,0.66,0.69,0.65,0.64,0.59,0.62,0.61,0.61,0.60,0.62,0.59,0.60,0.59,0.60,0.61,0.61,0.53,0.53,0.53,0.53,0.56,0.56,0.61,0.53,0.60,0.56,0.88
126-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
127-1,NaN,0.99,0.98,0.88,0.82,0.80,0.83,0.83,0.71,0.81,0.81,0.81,0.81,0.58,0.74,0.62,0.79,0.80,0.78,0.54,0.78,0.69,0.65,0.74,0.73,0.53,0.60,0.77,0.74,0.74,0.72,0.56,0.58,0.76,0.68,0.70,0.71,0.70,0.57,0.60,0.56,0.60,0.60,0.71,0.66,0.55,0.56,0.70,0.67,0.61,0.67,0.61,0.65,0.57,0.56,0.64,0.51,0.52,0.51,0.53,0.53,0.66,0.59,0.58,0.57,0.81
127-2,NaN,0.99,0.98,0.89,0.83,0.84,0.85,0.81,0.70,0.82,0.81,0.82,0.81,0.70,0.67,0.61,0.75,0.78,0.74,0.57,0.74,0.72,0.66,0.75,0.75,0.55,0.61,0.73,0.75,0.77,0.70,0.60,0.56,0.77,0.71,0.73,0.74,0.72,0.57,0.56,0.57,0.56,0.58,0.70,0.71,0.56,0.58,0.76,0.70,0.68,0.69,0.68,0.70,0.58,0.55,0.63,0.51,0.52,0.51,0.60,0.60,0.59,0.61,0.60,0.61,0.89
127-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
128-1,NaN,0.93,0.94,0.79,0.82,0.77,0.56,0.64,0.50,0.53,0.51,0.51,0.54,0.89,0.70,0.70,0.50,0.75,0.48,0.70,0.45,0.69,0.60,0.52,0.52,0.66,0.59,0.69,0.59,0.68,0.51,0.62,0.59,0.69,0.60,0.63,0.67,0.64,0.65,0.43,0.63,0.43,0.57,0.54,0.44,0.57,0.58,0.59,0.44,0.48,0.49,0.48,0.47,0.47,0.47,0.53,0.57,0.57,0.57,0.47,0.47,0.47,0.54,0.50,0.30,0.70
129-1,NaN,0.94,0.95,0.82,0.77,0.85,0.83,0.75,0.74,0.81,0.81,0.81,0.79,0.75,0.75,0.76,0.71,0.76,0.70,0.68,0.72,0.73,0.62,0.73,0.73,0.66,0.59,0.74,0.73,0.68,0.73,0.63,0.55,0.70,0.68,0.72,0.72,0.72,0.60,0.63,0.64,0.62,0.60,0.67,0.66,0.56,0.56,0.77,0.66,0.63,0.65,0.63,0.66,0.55,0.53,0.60,0.54,0.54,0.54,0.56,0.56,0.61,0.60,0.60,0.53,0.86
129-2,NaN,0.93,0.94,0.81,0.84,0.80,0.83,0.83,0.76,0.81,0.81,0.81,0.78,0.72,0.72,0.65,0.83,0.74,0.82,0.66,0.84,0.73,0.62,0.72,0.72,0.63,0.60,0.57,0.75,0.71,0.74,0.56,0.54,0.71,0.59,0.72,0.69,0.72,0.59,0.61,0.59,0.59,0.65,0.67,0.70,0.60,0.59,0.80,0.71,0.65,0.65,0.65,0.66,0.53,0.54,0.62,0.55,0.55,0.55,0.58,0.58,0.56,0.62,0.60,0.47,0.79
129-3,NaN,0.94,0.94,0.82,0.77,0.85,0.84,0.74,0.74,0.82,0.82,0.82,0.80,0.79,0.76,0.76,0.71,0.76,0.70,0.67,0.72,0.73,0.63,0.73,0.73,0.66,0.59,0.74,0.73,0.69,0.75,0.64,0.55,0.70,0.69,0.72,0.72,0.72,0.62,0.65,0.65,0.64,0.60,0.67,0.67,0.56,0.56,0.77,0.67,0.63,0.65,0.63,0.66,0.55,0.53,0.61,0.54,0.54,0.54,0.56,0.56,0.60,0.60,0.60,0.53,0.87
130-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
130-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
130-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
131-1,NaN,0.90,0.86,0.68,0.81,0.88,0.61,0.74,0.52,0.60,0.60,0.60,0.60,0.54,0.52,0.50,0.78,0.71,0.77,0.54,0.76,0.73,0.58,0.71,0.71,0.54,0.54,0.60,0.77,0.62,0.68,0.54,0.54,0.59,0.67,0.56,0.61,0.56,0.54,0.59,0.54,0.59,0.55,0.66,0.67,0.51,0.51,0.71,0.66,0.68,0.72,0.67,0.70,0.60,0.58,0.62,0.50,0.50,0.50,0.59,0.59,0.57,0.61,0.66,0.62,0.57
131-2,NaN,0.95,0.90,0.74,0.73,0.91,0.62,0.74,0.53,0.61,0.60,0.60,0.62,0.54,0.53,0.50,0.78,0.72,0.78,0.54,0.76,0.73,0.58,0.74,0.74,0.54,0.54,0.64,0.78,0.62,0.73,0.54,0.54,0.60,0.66,0.56,0.63,0.55,0.54,0.59,0.54,0.59,0.54,0.68,0.69,0.51,0.51,0.64,0.68,0.67,0.74,0.67,0.70,0.60,0.59,0.63,0.50,0.50,0.50,0.59,0.59,0.60,0.62,0.69,0.70,0.56
131-3,NaN,0.78,0.50,0.50,0.73,0.83,0.72,0.68,0.58,0.68,0.68,0.68,0.68,0.60,0.55,0.59,0.67,0.82,0.70,0.49,0.66,0.70,0.58,0.70,0.70,0.50,0.55,0.71,0.72,0.62,0.74,0.50,0.49,0.62,0.62,0.59,0.72,0.61,0.53,0.70,0.50,0.70,0.55,0.64,0.70,0.50,0.50,0.69,0.70,0.68,0.70,0.67,0.68,0.58,0.57,0.62,0.50,0.50,0.50,0.63,0.63,0.62,0.57,0.70,0.69,0.62
132-1,NaN,0.99,0.99,0.80,0.81,0.79,0.80,0.69,0.53,0.78,0.78,0.78,0.75,0.42,0.75,0.72,0.77,0.71,0.77,0.62,0.74,0.66,0.60,0.69,0.69,0.59,0.57,0.54,0.65,0.69,0.79,0.64,0.57,0.67,0.58,0.65,0.68,0.65,0.55,0.51,0.61,0.50,0.55,0.62,0.61,0.52,0.53,0.80,0.63,0.60,0.62,0.60,0.62,0.56,0.53,0.56,0.52,0.52,0.51,0.54,0.54,0.58,0.57,0.48,0.49,0.85
132-2,NaN,0.99,0.99,0.80,0.81,0.77,0.79,0.68,0.54,0.77,0.77,0.79,0.74,0.42,0.75,0.72,0.76,0.71,0.76,0.61,0.73,0.63,0.60,0.66,0.66,0.58,0.58,0.54,0.66,0.71,0.80,0.64,0.57,0.69,0.60,0.64,0.71,0.64,0.55,0.53,0.61,0.51,0.55,0.62,0.58,0.52,0.53,0.80,0.61,0.59,0.62,0.59,0.61,0.55,0.54,0.56,0.52,0.52,0.51,0.53,0.53,0.60,0.56,0.50,0.51,0.84
65-1,NaN,0.55,0.58,0.49,0.69,0.64,0.76,0.63,0.67,0.75,0.75,0.75,0.75,0.50,0.59,0.76,0.63,0.68,0.63,0.67,0.68,0.69,0.58,0.60,0.60,0.64,0.58,0.50,0.66,0.65,0.43,0.71,0.61,0.64,0.57,0.60,0.64,0.62,0.67,0.54,0.65,0.49,0.50,0.54,0.62,0.53,0.53,0.74,0.62,0.58,0.58,0.58,0.57,0.55,0.53,0.57,0.52,0.53,0.52,0.56,0.56,0.63,0.52,0.58,0.55,0.89
65-2,NaN,0.61,0.61,0.57,0.70,0.70,0.81,0.66,0.60,0.80,0.80,0.80,0.80,0.63,0.57,0.68,0.69,0.69,0.69,0.62,0.73,0.70,0.59,0.63,0.63,0.58,0.59,0.56,0.69,0.68,0.45,0.64,0.57,0.66,0.57,0.59,0.61,0.61,0.66,0.50,0.65,0.48,0.54,0.54,0.64,0.53,0.54,0.62,0.64,0.59,0.58,0.59,0.57,0.55,0.53,0.57,0.52,0.52,0.52,0.56,0.56,0.59,0.52,0.62,0.56,0.89
65-3,NaN,0.57,0.57,0.51,0.70,0.72,0.76,0.65,0.58,0.76,0.76,0.76,0.74,0.52,0.63,0.71,0.64,0.67,0.63,0.63,0.75,0.71,0.58,0.61,0.61,0.58,0.58,0.61,0.66,0.65,0.51,0.61,0.58,0.64,0.57,0.61,0.60,0.61,0.61,0.58,0.64,0.54,0.51,0.53,0.62,0.53,0.53,0.58,0.62,0.58,0.58,0.58,0.57,0.55,0.53,0.56,0.53,0.53,0.52,0.56,0.56,0.59,0.52,0.59,0.55,0.89
68-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
68-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
69-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
69-2,NaN,0.96,0.97,0.88,0.77,0.67,0.64,0.61,0.72,0.61,0.61,0.60,0.61,0.45,0.78,0.69,0.77,0.80,0.77,0.70,0.77,0.73,0.59,0.68,0.68,0.67,0.59,0.70,0.72,0.72,0.65,0.67,0.60,0.71,0.61,0.63,0.67,0.62,0.65,0.54,0.64,0.53,0.64,0.61,0.63,0.53,0.52,0.60,0.63,0.63,0.67,0.63,0.66,0.58,0.56,0.59,0.53,0.53,0.53,0.57,0.57,0.57,0.59,0.55,0.59,0.45
70-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
70-2,NaN,0.98,0.96,0.82,0.87,0.80,0.87,0.79,0.75,0.85,0.85,0.87,0.82,0.65,0.82,0.79,0.79,0.78,0.71,0.60,0.71,0.72,0.60,0.75,0.76,0.63,0.57,0.65,0.74,0.66,0.79,0.59,0.54,0.68,0.69,0.69,0.71,0.70,0.57,0.59,0.60,0.53,0.55,0.68,0.71,0.55,0.58,0.64,0.72,0.68,0.71,0.68,0.70,0.57,0.57,0.59,0.50,0.50,0.50,0.63,0.63,0.64,0.57,0.60,0.59,0.88
70-3,NaN,0.92,0.52,0.90,0.79,0.63,0.85,0.75,0.74,0.82,0.83,0.82,0.82,0.57,0.62,0.66,0.66,0.63,0.66,0.56,0.64,0.80,0.58,0.74,0.72,0.60,0.56,0.68,0.74,0.62,0.50,0.52,0.54,0.65,0.65,0.68,0.73,0.69,0.50,0.59,0.53,0.56,0.50,0.64,0.66,0.53,0.54,0.59,0.67,0.60,0.65,0.60,0.63,0.55,0.53,0.61,0.50,0.50,0.50,0.56,0.56,0.61,0.54,0.53,0.52,0.89
72-1,NaN,0.83,0.83,0.75,0.74,0.87,0.81,0.64,0.70,0.79,0.78,0.78,0.78,0.59,0.56,0.50,0.70,0.66,0.70,0.54,0.68,0.63,0.55,0.69,0.69,0.53,0.53,0.60,0.70,0.56,0.76,0.54,0.52,0.55,0.62,0.63,0.60,0.62,0.54,0.49,0.54,0.49,0.54,0.63,0.66,0.51,0.51,0.60,0.67,0.62,0.61,0.62,0.61,0.54,0.51,0.61,0.50,0.50,0.50,0.53,0.53,0.52,0.61,0.61,0.59,0.81
72-2,NaN,0.62,0.58,0.55,0.69,0.87,0.81,0.49,0.70,0.79,0.79,0.79,0.78,0.59,0.57,0.50,0.64,0.50,0.64,0.54,0.58,0.54,0.55,0.68,0.68,0.53,0.53,0.60,0.70,0.52,0.76,0.54,0.52,0.51,0.60,0.63,0.60,0.62,0.54,0.49,0.54,0.49,0.55,0.64,0.67,0.51,0.51,0.57,0.68,0.59,0.59,0.60,0.60,0.49,0.49,0.60,0.50,0.50,0.50,0.49,0.49,0.52,0.60,0.60,0.57,0.81
73-1,NaN,0.91,0.90,0.88,0.72,0.79,0.70,0.69,0.65,0.68,0.67,0.67,0.67,0.61,0.71,0.71,0.75,0.71,0.72,0.68,0.77,0.69,0.60,0.62,0.62,0.65,0.57,0.68,0.64,0.67,0.62,0.64,0.67,0.66,0.52,0.61,0.72,0.61,0.53,0.65,0.52,0.64,0.65,0.61,0.60,0.52,0.53,0.70,0.59,0.59,0.59,0.57,0.59,0.52,0.51,0.59,0.53,0.54,0.53,0.54,0.54,0.61,0.57,0.60,0.59,0.84
73-2,NaN,0.91,0.90,0.88,0.75,0.80,0.70,0.69,0.66,0.67,0.67,0.67,0.67,0.61,0.72,0.72,0.73,0.71,0.72,0.68,0.77,0.69,0.60,0.61,0.61,0.65,0.57,0.69,0.64,0.67,0.61,0.69,0.67,0.66,0.53,0.59,0.70,0.59,0.71,0.66,0.71,0.65,0.65,0.61,0.59,0.52,0.52,0.71,0.58,0.59,0.58,0.56,0.58,0.52,0.51,0.59,0.53,0.53,0.53,0.54,0.54,0.62,0.57,0.61,0.60,0.84
73-3,NaN,0.82,0.84,0.72,0.74,0.71,0.64,0.65,0.51,0.63,0.62,0.62,0.61,0.47,0.71,0.73,0.72,0.63,0.71,0.69,0.74,0.59,0.56,0.57,0.56,0.65,0.55,0.63,0.56,0.61,0.51,0.71,0.55,0.58,0.61,0.65,0.66,0.62,0.50,0.61,0.72,0.65,0.51,0.55,0.54,0.51,0.51,0.63,0.54,0.51,0.52,0.51,0.53,0.51,0.49,0.52,0.53,0.53,0.50,0.51,0.51,0.57,0.55,0.59,0.61,0.80
74-1,NaN,0.86,0.61,0.89,0.84,0.95,0.57,0.64,0.59,0.54,0.54,0.54,0.58,0.46,0.65,0.58,0.84,0.80,0.83,0.55,0.82,0.74,0.59,0.75,0.75,0.55,0.56,0.73,0.76,0.62,0.68,0.56,0.57,0.67,0.68,0.62,0.73,0.63,0.56,0.72,0.56,0.72,0.63,0.76,0.72,0.52,0.52,0.81,0.72,0.66,0.72,0.65,0.69,0.60,0.58,0.63,0.50,0.50,0.50,0.61,0.61,0.69,0.64,0.73,0.68,0.48
74-2,NaN,0.94,0.82,0.88,0.75,0.81,0.62,0.65,0.55,0.62,0.62,0.62,0.59,0.47,0.59,0.63,0.68,0.70,0.67,0.52,0.66,0.67,0.59,0.63,0.63,0.52,0.59,0.77,0.72,0.64,0.58,0.53,0.53,0.65,0.63,0.61,0.72,0.62,0.53,0.62,0.53,0.62,0.59,0.70,0.66,0.50,0.51,0.54,0.65,0.63,0.68,0.63,0.65,0.55,0.52,0.60,0.50,0.50,0.50,0.57,0.57,0.60,0.60,0.59,0.59,0.58
75-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
75-2,NaN,0.98,0.99,0.90,0.81,0.88,0.67,0.67,0.73,0.63,0.63,0.63,0.64,0.46,0.77,0.69,0.79,0.81,0.79,0.70,0.77,0.75,0.59,0.74,0.74,0.67,0.59,0.79,0.76,0.74,0.72,0.67,0.61,0.73,0.67,0.68,0.75,0.66,0.65,0.61,0.64,0.60,0.65,0.73,0.70,0.53,0.52,0.69,0.69,0.65,0.72,0.64,0.70,0.61,0.60,0.63,0.53,0.53,0.53,0.58,0.58,0.67,0.63,0.76,0.75,0.45
79-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
79-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
79-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
80-1,NaN,0.82,0.65,0.76,0.75,0.95,0.57,0.72,0.57,0.54,0.54,0.54,0.58,0.46,0.64,0.58,0.84,0.80,0.84,0.55,0.83,0.75,0.59,0.75,0.75,0.55,0.57,0.73,0.77,0.65,0.66,0.56,0.57,0.70,0.69,0.60,0.77,0.61,0.56,0.72,0.56,0.72,0.62,0.75,0.74,0.52,0.52,0.81,0.74,0.66,0.72,0.66,0.70,0.62,0.59,0.65,0.50,0.50,0.50,0.61,0.61,0.69,0.64,0.77,0.74,0.48
