ID-model,GO:0003674,GO:0016874,GO:0070011,GO:0016788,GO:0016491,GO:0008233,GO:0016787,GO:0000975,GO:0044212,GO:0001067,GO:0003677,GO:0003676,GO:0097159,GO:0003824,GO:1901363,GO:0016740,GO:0016772,GO:0022857,GO:0043565,GO:0005215,GO:0030234,GO:0016773,GO:0022891,GO:0022892,GO:0043168,GO:0046872,GO:0043167,GO:0005102,GO:0042802,GO:0043169,GO:0005515,GO:0005488,GO:0019899
81-1,NaN,0.69,0.89,0.94,0.88,0.86,0.88,0.50,0.50,0.50,0.74,0.74,0.67,0.82,0.67,0.88,0.96,0.98,0.58,0.97,0.77,0.95,0.99,0.98,0.50,0.57,0.54,0.49,0.50,0.56,0.59,0.62,0.50
81-2,NaN,0.69,0.89,0.94,0.88,0.86,0.88,0.50,0.50,0.50,0.74,0.74,0.67,0.82,0.67,0.88,0.96,0.98,0.58,0.97,0.77,0.95,0.99,0.98,0.50,0.57,0.54,0.49,0.50,0.56,0.59,0.62,0.50
82-1,NaN,0.94,0.99,0.94,0.98,0.95,0.93,0.86,0.86,0.86,0.87,0.79,0.77,0.86,0.77,0.88,0.93,0.96,0.79,0.95,0.87,0.95,0.96,0.96,0.83,0.68,0.73,0.71,0.48,0.66,0.61,0.57,0.65
83-1,NaN,1.00,0.99,0.85,0.96,0.91,0.88,0.78,0.78,0.78,0.87,0.86,0.71,0.86,0.72,0.95,0.99,0.96,0.83,0.96,0.81,0.99,0.96,0.96,0.83,0.69,0.63,0.78,0.52,0.63,0.70,0.58,0.58
83-2,NaN,0.99,1.00,0.83,0.97,0.92,0.88,0.69,0.70,0.69,0.89,0.89,0.72,0.87,0.73,0.97,0.99,0.99,0.86,0.98,0.81,1.00,0.98,0.98,0.85,0.70,0.63,0.78,0.52,0.64,0.70,0.58,0.59
84-1,NaN,0.61,0.90,0.77,0.77,0.72,0.73,0.52,0.52,0.52,0.41,0.37,0.48,0.70,0.48,0.65,0.89,0.93,0.66,0.93,0.60,0.91,0.92,0.93,0.85,0.78,0.83,0.85,0.50,0.78,0.54,0.39,0.52
85-1,NaN,0.94,1.00,0.94,0.92,0.96,0.93,0.88,0.88,0.88,0.88,0.84,0.81,0.90,0.81,0.91,0.85,0.94,0.85,0.94,0.91,0.83,0.93,0.94,0.80,0.58,0.65,0.62,0.42,0.56,0.60,0.63,0.57
85-2,NaN,0.94,1.00,0.92,0.92,0.96,0.92,0.88,0.89,0.88,0.85,0.80,0.74,0.90,0.75,0.91,0.85,0.93,0.85,0.94,0.90,0.83,0.93,0.94,0.76,0.50,0.60,0.62,0.40,0.50,0.60,0.58,0.57
86-1,NaN,0.50,0.74,0.68,0.74,0.76,0.78,0.55,0.55,0.55,0.62,0.72,0.66,0.72,0.66,0.69,0.68,0.67,0.48,0.69,0.49,0.67,0.70,0.72,0.65,0.49,0.56,0.49,0.51,0.48,0.59,0.55,0.51
86-2,NaN,0.50,0.74,0.68,0.74,0.76,0.78,0.55,0.55,0.55,0.62,0.72,0.66,0.72,0.66,0.69,0.68,0.67,0.48,0.69,0.49,0.67,0.70,0.72,0.65,0.49,0.56,0.49,0.51,0.48,0.59,0.55,0.51
86-3,NaN,0.50,0.70,0.70,0.74,0.73,0.76,0.52,0.52,0.52,0.61,0.61,0.58,0.69,0.58,0.67,0.65,0.66,0.49,0.64,0.49,0.63,0.67,0.65,0.57,0.49,0.53,0.50,0.51,0.49,0.62,0.59,0.49
87-1,NaN,0.95,1.00,0.97,0.91,0.96,0.97,0.50,0.50,0.50,0.90,0.89,0.84,0.92,0.84,0.96,0.99,0.98,0.54,0.96,0.74,1.00,0.99,0.98,0.78,0.69,0.67,0.54,0.49,0.65,0.58,0.62,0.48
87-2,NaN,0.95,0.94,0.97,0.91,0.93,0.97,0.50,0.50,0.50,0.89,0.86,0.81,0.91,0.81,0.95,0.99,0.98,0.54,0.98,0.70,1.00,1.00,0.99,0.78,0.72,0.69,0.54,0.49,0.68,0.58,0.57,0.48
87-3,NaN,0.94,0.98,0.98,0.89,0.91,0.94,0.50,0.50,0.50,0.89,0.87,0.83,0.91,0.83,0.95,0.99,0.93,0.49,0.97,0.74,1.00,0.99,0.99,0.80,0.67,0.67,0.55,0.49,0.64,0.61,0.61,0.49
88-1,NaN,0.99,0.99,0.83,0.92,0.92,0.91,0.55,0.55,0.55,0.61,0.60,0.60,0.83,0.59,0.89,0.90,0.94,0.58,0.98,0.74,0.89,0.94,0.94,0.64,0.55,0.59,0.49,0.48,0.54,0.64,0.64,0.54
89-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
89-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
89-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
91-1,NaN,0.78,0.46,0.46,0.46,0.46,0.38,0.75,0.75,0.75,0.67,0.46,0.42,0.62,0.42,NaN,NaN,NaN,0.50,NaN,0.46,NaN,NaN,NaN,0.43,0.46,0.39,NaN,0.50,0.46,0.29,0.38,0.50
91-2,NaN,0.79,0.46,0.46,0.46,0.46,0.38,0.75,0.75,0.75,0.67,0.56,0.52,0.60,0.52,NaN,NaN,NaN,0.50,NaN,0.46,NaN,NaN,NaN,0.43,0.46,0.39,NaN,0.50,0.46,0.28,0.42,0.50
91-3,NaN,0.38,0.50,0.81,0.82,0.50,0.54,0.46,0.46,0.46,0.40,0.40,0.40,0.35,0.40,NaN,NaN,NaN,0.40,NaN,0.75,NaN,NaN,NaN,0.50,0.50,0.50,NaN,0.50,0.50,0.26,0.67,0.50
93-1,NaN,0.88,0.95,0.68,0.67,0.85,0.55,0.92,0.49,0.91,0.89,0.88,0.76,0.53,0.76,0.69,0.91,0.92,0.89,0.92,NaN,0.94,0.94,0.94,0.87,0.78,0.76,NaN,0.58,0.78,0.56,0.70,0.47
93-2,NaN,0.84,0.93,0.68,0.63,0.83,0.52,0.88,0.49,0.85,0.82,0.82,0.69,0.49,0.69,0.72,0.83,0.80,0.82,0.80,NaN,0.91,0.81,0.79,0.79,0.73,0.64,NaN,0.58,0.73,0.54,0.60,0.47
94-1,NaN,0.84,0.99,0.90,0.91,0.96,0.93,0.52,0.52,0.52,0.88,0.91,0.86,0.86,0.86,0.94,0.98,0.95,0.58,0.98,0.74,1.00,0.95,0.90,0.74,0.65,0.68,0.54,0.48,0.63,0.65,0.64,0.50
95-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
95-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
96-1,NaN,0.47,0.58,0.50,0.45,0.62,0.52,0.65,0.65,0.65,0.61,0.61,0.54,0.52,0.54,0.54,0.31,0.46,0.60,0.59,0.50,0.34,0.48,0.64,0.50,0.50,0.50,0.49,0.47,0.50,0.50,0.57,0.50
96-2,NaN,0.61,0.65,0.42,0.45,0.65,0.49,0.52,0.52,0.52,0.64,0.64,0.55,0.46,0.55,0.48,0.56,0.49,0.49,0.45,0.50,0.85,0.49,0.49,0.50,0.50,0.50,0.50,0.56,0.50,0.53,0.46,0.50
96-3,NaN,0.43,0.52,0.70,0.65,0.50,0.52,0.38,0.38,0.38,0.44,0.44,0.48,0.48,0.48,0.49,0.24,0.49,0.38,0.65,0.50,0.27,0.49,0.66,0.50,0.50,0.50,0.48,0.50,0.50,0.49,0.53,0.50
97-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
97-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
97-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
98-1,NaN,0.54,0.74,0.61,0.75,0.54,0.64,0.54,0.55,0.53,0.54,0.51,0.53,0.59,0.54,0.66,0.68,0.84,0.73,0.83,0.91,0.78,0.83,0.83,0.66,0.86,0.82,0.74,0.51,0.86,0.61,0.52,0.67
99-1,NaN,0.94,0.99,0.94,0.91,0.92,0.89,0.63,0.63,0.63,0.89,0.88,0.89,0.89,0.89,0.95,0.99,0.91,0.75,0.92,0.80,0.92,0.90,0.91,0.85,0.69,0.76,0.44,0.47,0.68,0.66,0.69,0.58
