ID-model,GO:0003674,GO:0016409,GO:0070011,GO:0016747,GO:0016757,GO:0016746,GO:0022891,GO:0022857,GO:0016773,GO:0016788,GO:0008233,GO:0016491,GO:0017111,GO:0016462,GO:0016818,GO:0016817,GO:0016301,GO:0016772,GO:0004672,GO:0016740,GO:0016874,GO:0016787,GO:0004842,GO:0019787,GO:0016881,GO:0016879,GO:0022892,GO:0003677,GO:0005215,GO:0000166,GO:1901265,GO:0003676,GO:0000975,GO:0044212,GO:0001067,GO:0043565,GO:0001071,GO:0003700,GO:0003824,GO:0097159,GO:1901363,GO:0036094,GO:0000976,GO:0030695,GO:0000981,GO:0043168,GO:0008289,GO:0000977,GO:0001012,GO:0060589,GO:0008092,GO:0008047,GO:0030234,GO:0017016,GO:0031267,GO:0051020,GO:0043167,GO:0017137,GO:0005488,GO:0032403,GO:0005515,GO:0046872,GO:0005102,GO:0042802,GO:0043169,GO:0019899,GO:0046983,GO:0042803
120-2,NaN,0.50,1.00,0.50,0.50,1.00,0.98,0.98,0.99,0.90,0.99,0.88,0.75,0.87,0.87,0.87,0.98,0.95,0.99,0.80,0.62,0.91,0.64,0.64,0.64,0.64,0.94,0.87,0.93,0.86,0.86,0.90,0.68,0.68,0.68,0.81,0.91,0.87,0.84,0.81,0.82,0.76,0.70,0.76,0.73,0.78,0.74,0.50,0.50,0.70,0.80,0.66,0.70,0.50,0.55,0.55,0.69,0.50,0.53,0.62,0.71,0.74,0.50,0.58,0.72,0.58,0.54,0.49
120-3,NaN,0.50,0.50,0.50,0.50,0.50,0.86,0.93,0.88,0.61,0.61,0.70,0.50,0.51,0.51,0.51,0.85,0.76,0.88,0.63,0.57,0.77,0.49,0.58,0.58,0.58,0.89,0.83,0.93,0.78,0.78,0.87,0.69,0.67,0.69,0.69,0.77,0.76,0.74,0.77,0.81,0.75,0.50,0.50,0.50,0.47,0.55,0.50,0.50,0.50,0.50,0.50,0.53,0.50,0.50,0.50,0.60,0.50,0.66,0.50,0.50,0.65,0.50,0.50,0.63,0.50,0.50,0.50
121-1,NaN,1.00,1.00,0.95,1.00,1.00,0.90,0.83,1.00,0.89,1.00,0.99,0.84,0.86,0.86,0.86,1.00,1.00,1.00,0.99,0.83,0.94,0.56,0.56,0.56,0.56,0.78,0.96,0.92,0.77,0.77,0.94,0.53,0.53,0.53,0.77,0.74,0.74,0.91,0.85,0.85,0.73,0.54,0.99,0.49,0.75,0.71,0.50,0.50,0.92,0.71,0.92,0.86,0.50,0.50,0.50,0.63,0.50,0.61,0.50,0.57,0.74,0.50,0.50,0.74,0.49,0.48,0.50
121-2,NaN,NaN,0.50,NaN,NaN,NaN,1.00,1.00,1.00,NaN,1.00,1.00,NaN,NaN,NaN,NaN,1.00,1.00,1.00,1.00,0.50,0.93,NaN,NaN,NaN,NaN,1.00,0.83,1.00,NaN,NaN,0.79,0.50,0.50,0.50,0.75,1.00,1.00,0.86,0.78,0.78,NaN,0.50,NaN,NaN,0.46,0.50,NaN,NaN,NaN,0.50,NaN,NaN,NaN,NaN,NaN,0.46,NaN,0.93,NaN,0.85,NaN,NaN,NaN,NaN,NaN,NaN,NaN
121-3,NaN,1.00,1.00,0.95,1.00,1.00,0.89,0.82,1.00,0.94,1.00,1.00,0.89,0.90,0.90,0.90,1.00,1.00,1.00,1.00,0.83,0.96,0.56,0.56,0.56,0.56,0.78,0.93,0.92,0.79,0.79,0.92,0.52,0.52,0.52,0.73,0.73,0.73,0.93,0.86,0.86,0.75,0.54,0.87,0.50,0.78,0.71,0.50,0.50,0.80,0.69,0.80,0.76,0.49,0.49,0.49,0.70,0.50,0.61,0.50,0.76,0.79,0.50,0.56,0.79,0.48,0.49,0.50
122-1,NaN,0.68,0.71,0.75,1.00,0.75,0.94,0.89,0.95,0.95,0.70,1.00,0.95,0.92,0.92,0.92,0.96,0.97,0.95,0.91,0.59,0.93,0.49,0.49,0.55,0.55,0.87,0.85,0.86,0.83,0.83,0.88,0.53,0.53,0.53,0.75,0.77,0.77,0.88,0.83,0.83,0.79,0.57,0.89,0.49,0.77,0.68,0.50,0.50,0.79,0.66,0.76,0.73,0.49,0.49,0.49,0.60,0.50,0.59,0.53,0.74,0.54,0.56,0.54,0.52,0.49,0.48,0.49
124-1,NaN,0.72,1.00,0.67,0.78,0.67,0.73,0.80,0.54,0.74,0.96,0.81,0.81,0.79,0.79,0.79,0.54,0.61,0.67,0.50,0.93,0.69,0.90,0.90,0.93,0.92,0.67,0.79,0.74,0.73,0.73,0.65,0.90,0.90,0.90,0.74,0.93,0.93,0.45,0.49,0.49,0.67,0.67,0.69,0.94,0.55,0.55,0.82,0.81,0.73,0.84,0.69,0.75,0.60,0.57,0.56,0.48,0.49,0.55,0.67,0.46,0.42,0.66,0.44,0.45,0.63,0.47,0.50
124-2,NaN,0.72,0.34,0.67,0.40,0.67,0.50,0.50,0.31,0.38,0.35,0.29,0.57,0.56,0.56,0.56,0.26,0.29,0.36,0.35,0.77,0.35,0.55,0.55,0.73,0.81,0.48,0.61,0.50,0.31,0.31,0.43,0.28,0.28,0.28,0.60,0.55,0.57,0.24,0.42,0.42,0.33,0.50,0.62,0.67,0.41,0.51,0.55,0.54,0.66,0.76,0.60,0.67,0.54,0.54,0.54,0.46,0.50,0.54,0.50,0.50,0.38,0.54,0.62,0.41,0.65,0.57,0.59
124-3,NaN,0.49,1.00,0.07,0.70,0.06,0.54,0.58,0.54,0.68,0.96,0.75,0.79,0.77,0.77,0.77,0.54,0.61,0.67,0.30,0.91,0.61,0.89,0.89,0.92,0.91,0.51,0.76,0.59,0.73,0.73,0.61,0.90,0.90,0.90,0.62,0.91,0.91,0.38,0.30,0.30,0.67,0.67,0.45,0.93,0.55,0.55,0.82,0.81,0.54,0.84,0.49,0.60,0.60,0.58,0.56,0.48,0.49,0.55,0.67,0.46,0.42,0.66,0.45,0.45,0.63,0.47,0.50
125-1,NaN,0.82,1.00,0.83,1.00,1.00,0.94,0.95,1.00,0.95,0.97,0.99,0.95,0.95,0.95,0.95,1.00,1.00,1.00,0.99,0.81,0.95,0.63,0.63,0.63,0.63,0.88,0.91,0.91,0.77,0.77,0.90,0.58,0.58,0.58,0.77,0.82,0.82,0.92,0.82,0.82,0.70,0.60,0.86,0.59,0.74,0.66,0.54,0.54,0.78,0.76,0.76,0.74,0.50,0.50,0.50,0.65,0.50,0.54,0.56,0.71,0.78,0.56,0.63,0.77,0.50,0.55,0.57
125-2,NaN,1.00,1.00,0.99,1.00,1.00,0.94,0.95,0.99,0.96,1.00,0.97,0.95,0.95,0.95,0.95,0.98,0.98,0.99,0.97,0.93,0.96,0.75,0.75,0.75,0.75,0.91,0.89,0.91,0.72,0.72,0.86,0.62,0.62,0.62,0.76,0.82,0.82,0.89,0.77,0.77,0.70,0.64,0.89,0.64,0.75,0.78,0.59,0.59,0.86,0.77,0.80,0.81,0.49,0.48,0.48,0.58,0.49,0.54,0.49,0.59,0.70,0.49,0.61,0.66,0.48,0.53,0.51
125-3,NaN,1.00,1.00,0.99,1.00,0.99,0.92,0.92,0.98,0.93,0.96,1.00,0.98,0.98,0.98,0.98,0.98,0.96,0.98,0.95,0.94,0.94,0.89,0.94,0.94,0.94,0.91,0.89,0.90,0.87,0.87,0.87,0.86,0.86,0.86,0.87,0.83,0.83,0.86,0.79,0.80,0.80,0.81,0.94,0.84,0.84,0.80,0.77,0.77,0.87,0.86,0.78,0.81,0.74,0.74,0.74,0.67,0.75,0.61,0.52,0.66,0.58,0.56,0.48,0.53,0.42,0.44,0.46
126-1,NaN,0.68,1.00,0.66,0.92,0.80,0.89,0.86,0.73,0.78,0.97,0.97,0.66,0.69,0.69,0.69,0.96,0.94,0.73,0.99,0.63,0.90,0.54,0.54,0.54,0.54,0.84,0.89,0.84,0.77,0.77,0.89,0.50,0.50,0.50,0.53,0.54,0.54,0.89,0.84,0.84,0.72,0.50,0.85,0.50,0.70,0.57,0.50,0.50,0.76,0.60,0.73,0.71,0.54,0.54,0.54,0.67,0.55,0.65,0.53,0.66,0.63,0.55,0.52,0.61,0.51,0.50,0.50
127-1,NaN,1.00,1.00,1.00,1.00,1.00,0.94,0.94,1.00,0.99,0.96,1.00,0.95,0.95,0.95,0.95,1.00,1.00,1.00,1.00,0.94,0.95,0.94,0.94,0.94,0.94,0.91,0.92,0.91,0.82,0.82,0.92,0.80,0.75,0.80,0.90,0.90,0.91,0.94,0.90,0.89,0.79,0.79,0.89,0.92,0.86,0.73,0.64,0.64,0.82,0.80,0.72,0.82,0.55,0.60,0.66,0.74,0.50,0.66,0.60,0.67,0.60,0.66,0.62,0.57,0.51,0.54,0.51
127-2,NaN,1.00,1.00,1.00,1.00,1.00,0.98,0.98,1.00,0.99,0.99,1.00,0.98,0.98,0.98,0.98,1.00,1.00,1.00,1.00,0.93,0.97,0.93,0.93,0.93,0.92,0.98,0.92,0.97,0.89,0.89,0.91,0.88,0.88,0.88,0.89,0.91,0.91,0.94,0.89,0.89,0.80,0.84,0.99,0.84,0.87,0.82,0.74,0.74,0.89,0.80,0.78,0.85,0.78,0.77,0.79,0.73,0.78,0.70,0.64,0.69,0.65,0.63,0.55,0.59,0.53,0.43,0.47
127-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
128-1,NaN,1.00,1.00,0.99,1.00,0.99,0.92,0.92,0.98,0.98,0.95,0.98,0.92,0.92,0.92,0.92,0.90,0.95,0.89,0.95,0.87,0.93,0.85,0.86,0.85,0.85,0.88,0.75,0.87,0.96,0.96,0.74,0.74,0.74,0.73,0.88,0.87,0.79,0.89,0.71,0.70,0.94,0.84,0.97,0.77,0.88,0.93,0.75,0.75,0.81,0.80,0.71,0.78,0.68,0.68,0.67,0.73,0.73,0.58,0.65,0.66,0.54,0.61,0.65,0.50,0.53,0.62,0.57
129-1,NaN,1.00,1.00,1.00,0.99,1.00,0.93,0.93,1.00,0.95,0.98,0.99,0.90,0.91,0.91,0.91,0.96,0.96,1.00,0.98,0.97,0.94,0.97,0.97,0.97,0.97,0.89,0.92,0.88,0.88,0.88,0.93,0.89,0.89,0.89,0.90,0.89,0.89,0.93,0.90,0.90,0.84,0.76,0.92,0.84,0.89,0.88,0.67,0.66,0.91,0.81,0.83,0.87,0.72,0.72,0.72,0.79,0.73,0.70,0.63,0.64,0.70,0.61,0.55,0.67,0.52,0.56,0.58
129-2,NaN,1.00,1.00,1.00,0.89,1.00,NaN,0.99,1.00,1.00,0.61,0.96,0.73,0.77,0.77,0.77,1.00,0.95,1.00,0.94,1.00,0.73,1.00,1.00,1.00,1.00,1.00,0.79,1.00,0.88,0.87,0.80,0.72,0.73,0.72,0.90,0.63,0.63,0.84,0.80,0.79,0.78,0.64,0.97,0.57,0.80,0.78,0.70,0.69,0.96,0.79,0.70,0.74,0.84,0.84,0.84,0.74,0.87,0.69,0.65,0.61,0.58,0.67,0.78,0.50,0.49,0.72,0.78
129-3,NaN,1.00,1.00,1.00,0.99,1.00,0.93,0.93,1.00,0.95,0.98,0.99,0.90,0.91,0.91,0.91,0.96,0.96,1.00,0.97,0.97,0.94,0.97,0.97,0.97,0.97,0.89,0.93,0.88,0.89,0.89,0.93,0.90,0.90,0.90,0.90,0.89,0.89,0.93,0.90,0.91,0.85,0.75,0.92,0.83,0.89,0.88,0.66,0.66,0.91,0.81,0.84,0.86,0.72,0.71,0.74,0.79,0.73,0.70,0.62,0.64,0.71,0.61,0.55,0.69,0.52,0.57,0.58
130-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
130-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
130-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
131-1,NaN,0.82,1.00,0.83,1.00,1.00,0.93,0.88,0.95,0.98,1.00,1.00,0.91,0.88,0.88,0.88,0.96,0.96,0.95,0.98,0.85,0.95,0.55,0.55,0.55,0.55,0.85,0.93,0.90,0.78,0.78,0.92,0.53,0.53,0.53,0.75,0.74,0.74,0.92,0.85,0.85,0.71,0.58,0.89,0.59,0.80,0.70,0.50,0.50,0.81,0.63,0.81,0.78,0.50,0.50,0.50,0.65,0.50,0.60,0.54,0.57,0.71,0.53,0.55,0.68,0.49,0.49,0.50
131-2,NaN,0.73,1.00,0.76,1.00,1.00,0.93,0.88,1.00,0.95,1.00,1.00,0.84,0.85,0.85,0.85,1.00,1.00,1.00,0.99,0.84,0.94,0.55,0.55,0.55,0.55,0.86,0.93,0.90,0.73,0.73,0.92,0.53,0.53,0.53,0.75,0.72,0.72,0.91,0.84,0.84,0.68,0.58,0.89,0.55,0.78,0.73,0.50,0.50,0.85,0.69,0.85,0.80,0.50,0.50,0.50,0.61,0.50,0.57,0.54,0.56,0.69,0.54,0.49,0.65,0.49,0.50,0.50
131-3,NaN,1.00,1.00,1.00,1.00,1.00,0.93,0.93,0.94,0.98,0.99,1.00,0.94,0.94,0.94,0.94,0.98,0.98,0.95,0.97,0.90,0.96,0.84,0.84,0.84,0.84,0.89,0.92,0.89,0.74,0.74,0.91,0.64,0.64,0.64,0.83,0.94,0.94,0.91,0.83,0.83,0.70,0.62,0.89,0.78,0.76,0.77,0.58,0.58,0.83,0.70,0.77,0.74,0.58,0.58,0.58,0.64,0.54,0.56,0.58,0.59,0.68,0.57,0.56,0.63,0.51,0.51,0.53
132-1,NaN,1.00,0.99,0.99,1.00,0.99,0.90,0.90,0.94,0.99,0.98,0.92,0.95,0.94,0.94,0.96,0.94,0.96,0.92,0.98,0.93,0.95,0.78,0.88,0.87,0.87,0.88,0.89,0.93,0.82,0.83,0.88,0.86,0.86,0.86,0.82,0.87,0.84,0.91,0.82,0.83,0.82,0.85,0.91,0.81,0.85,0.78,0.72,0.72,0.85,0.82,0.79,0.83,0.71,0.71,0.75,0.73,0.70,0.71,0.70,0.69,0.67,0.67,0.48,0.61,0.47,0.47,0.45
132-2,NaN,1.00,0.99,0.99,1.00,0.99,0.90,0.90,0.93,1.00,0.98,0.96,0.95,0.94,0.94,0.96,0.93,0.95,0.91,0.97,0.93,0.95,0.78,0.88,0.87,0.87,0.87,0.88,0.93,0.80,0.83,0.88,0.86,0.86,0.86,0.82,0.87,0.84,0.92,0.83,0.83,0.82,0.85,0.96,0.81,0.81,0.77,0.72,0.72,0.88,0.81,0.79,0.85,0.74,0.73,0.78,0.70,0.72,0.66,0.70,0.64,0.67,0.66,0.48,0.61,0.48,0.47,0.45
65-1,NaN,1.00,0.96,0.99,0.77,0.98,0.90,0.92,0.94,0.93,0.95,0.94,0.84,0.89,0.89,0.89,0.90,0.86,0.95,0.80,0.92,0.89,0.84,0.98,0.96,0.93,0.91,0.75,0.91,0.93,0.93,0.74,0.79,0.78,0.80,0.85,0.82,0.78,0.80,0.72,0.73,0.91,0.86,0.97,0.75,0.91,0.87,0.83,0.82,0.96,0.78,0.92,0.91,0.80,0.85,0.91,0.82,0.80,0.59,0.58,0.64,0.69,0.70,0.48,0.68,0.58,0.42,0.45
65-2,NaN,1.00,1.00,0.99,0.98,0.98,0.90,0.92,0.97,0.91,0.98,0.98,0.88,0.88,0.88,0.88,0.94,0.92,0.94,0.88,0.92,0.89,0.83,0.94,0.93,0.92,0.91,0.83,0.91,0.94,0.94,0.81,0.81,0.79,0.81,0.87,0.93,0.94,0.84,0.76,0.78,0.92,0.85,0.97,0.83,0.90,0.87,0.81,0.80,0.96,0.84,0.92,0.90,0.84,0.96,0.96,0.83,0.85,0.63,0.59,0.66,0.73,0.75,0.53,0.75,0.60,0.44,0.47
65-3,NaN,1.00,0.95,0.99,0.87,0.99,0.91,0.91,0.94,0.92,0.94,0.97,0.89,0.90,0.90,0.90,0.85,0.86,0.93,0.81,0.91,0.89,0.83,0.94,0.92,0.93,0.91,0.78,0.92,0.94,0.94,0.76,0.81,0.80,0.81,0.88,0.90,0.91,0.81,0.72,0.73,0.92,0.79,0.97,0.87,0.91,0.88,0.75,0.75,0.96,0.83,0.92,0.91,0.85,0.90,0.95,0.81,0.80,0.61,0.57,0.65,0.69,0.66,0.50,0.72,0.60,0.48,0.47
68-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
68-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
69-1,NaN,NaN,1.00,NaN,1.00,NaN,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.99,NaN,NaN,NaN,NaN,1.00,0.99,1.00,NaN,NaN,0.99,0.78,0.78,0.77,0.97,0.98,0.98,0.99,0.92,0.92,NaN,0.98,0.99,NaN,0.75,0.90,NaN,NaN,0.99,0.41,0.99,0.95,NaN,NaN,NaN,0.56,NaN,0.82,0.59,0.82,0.64,0.96,NaN,0.62,0.53,0.67,NaN
69-2,NaN,1.00,1.00,1.00,1.00,1.00,0.92,0.92,1.00,0.98,0.95,1.00,0.97,0.95,0.95,0.95,0.98,0.99,0.98,0.93,0.93,0.95,0.95,0.95,0.95,0.95,0.91,0.95,0.91,0.75,0.75,0.95,0.79,0.80,0.79,0.88,0.88,0.88,0.88,0.87,0.87,0.69,0.85,0.93,0.66,0.79,0.76,0.72,0.73,0.90,0.76,0.81,0.86,0.76,0.75,0.75,0.63,0.70,0.73,0.62,0.78,0.65,0.59,0.59,0.62,0.66,0.48,0.48
70-1,NaN,0.50,0.96,1.00,0.91,1.00,0.89,0.89,0.95,0.95,0.92,0.98,0.98,0.98,0.98,0.98,0.95,0.95,0.95,0.97,0.84,0.94,0.84,0.83,0.83,0.83,0.94,0.91,0.94,0.82,0.82,0.93,0.89,0.89,0.89,0.87,0.84,0.84,0.90,0.89,0.89,0.71,0.50,0.84,0.63,0.77,0.64,0.50,0.50,0.75,0.82,0.80,0.81,0.57,0.61,0.61,0.66,0.50,0.86,0.67,0.82,0.59,0.56,0.53,0.52,0.64,0.44,0.41
70-2,NaN,1.00,0.93,0.96,0.83,0.93,0.84,0.89,0.95,0.93,0.93,0.66,0.95,0.95,0.95,0.95,0.94,0.89,0.86,0.59,0.85,0.93,0.87,0.85,0.84,0.83,0.91,0.55,0.91,0.82,0.86,0.88,0.79,0.81,0.78,0.85,0.82,0.82,0.68,0.81,0.81,0.75,0.81,0.86,0.84,0.79,0.57,0.75,0.64,0.81,0.74,0.71,0.74,0.73,0.73,0.73,0.70,0.50,0.56,0.56,0.52,0.48,0.53,0.60,0.51,0.51,0.50,0.45
70-3,NaN,0.50,0.99,0.83,0.80,0.81,0.83,0.85,0.96,0.94,0.96,0.62,0.82,0.95,0.95,0.95,0.96,0.90,0.96,0.88,0.88,0.95,0.50,0.50,0.87,0.87,0.83,0.65,0.83,0.78,0.79,0.63,0.53,0.53,0.53,0.49,0.86,0.86,0.79,0.54,0.87,0.72,0.49,0.67,0.84,0.85,0.70,0.50,0.50,0.67,0.75,0.49,0.70,0.58,0.58,0.58,0.64,0.58,0.65,0.50,0.65,0.50,0.57,0.49,0.50,0.47,0.53,0.44
72-1,NaN,0.73,0.99,0.76,1.00,1.00,0.87,0.88,0.95,0.85,0.96,0.82,0.91,0.92,0.92,0.92,0.92,0.93,0.95,0.98,0.81,0.95,0.74,0.74,0.74,0.74,0.77,0.84,0.86,0.73,0.73,0.84,0.53,0.53,0.53,0.66,0.79,0.79,0.90,0.75,0.76,0.68,0.57,0.77,0.55,0.74,0.61,0.50,0.50,0.71,0.55,0.71,0.69,0.49,0.49,0.49,0.64,0.50,0.59,0.56,0.62,0.54,0.52,0.52,0.53,0.49,0.49,0.50
72-2,NaN,0.50,0.96,0.50,0.50,0.50,0.50,0.50,0.95,0.64,0.96,0.65,0.70,0.68,0.68,0.68,0.88,0.87,0.95,0.64,0.74,0.73,0.74,0.74,0.74,0.74,0.50,0.83,0.50,0.79,0.79,0.84,0.50,0.50,0.50,0.63,0.79,0.79,0.65,0.82,0.82,0.76,0.50,0.54,0.55,0.67,0.54,0.50,0.50,0.53,0.55,0.53,0.52,0.50,0.50,0.50,0.64,0.50,0.56,0.54,0.54,0.54,0.50,0.52,0.53,0.49,0.49,0.50
73-1,NaN,1.00,1.00,0.93,0.99,0.93,0.88,0.88,0.95,0.96,1.00,0.99,0.94,0.93,0.93,0.92,0.92,0.92,0.91,0.81,0.89,0.91,0.90,0.90,0.90,0.90,0.89,0.87,0.89,0.73,0.73,0.82,0.84,0.84,0.84,0.84,0.90,0.90,0.82,0.74,0.74,0.70,0.86,0.96,0.77,0.80,0.78,0.75,0.75,0.89,0.78,0.78,0.83,0.63,0.63,0.62,0.63,0.66,0.54,0.63,0.67,0.56,0.63,0.57,0.53,0.49,0.56,0.53
73-2,NaN,1.00,1.00,0.94,0.99,0.94,0.88,0.88,0.95,0.96,1.00,0.99,0.95,0.93,0.93,0.93,0.92,0.92,0.91,0.82,0.89,0.92,0.90,0.90,0.90,0.89,0.89,0.87,0.89,0.72,0.72,0.83,0.84,0.84,0.84,0.85,0.90,0.90,0.82,0.74,0.74,0.69,0.87,0.96,0.77,0.81,0.78,0.79,0.78,0.89,0.79,0.78,0.83,0.63,0.63,0.62,0.64,0.66,0.54,0.63,0.67,0.57,0.64,0.55,0.53,0.49,0.56,0.55
73-3,NaN,1.00,0.91,0.94,0.98,0.94,0.81,0.81,0.84,0.84,0.89,0.93,0.84,0.82,0.81,0.81,0.83,0.79,0.84,0.72,0.90,0.67,0.60,0.93,0.93,0.91,0.81,0.83,0.79,0.73,0.64,0.78,0.82,0.73,0.82,0.82,0.85,0.81,0.58,0.64,0.64,0.61,0.80,0.82,0.80,0.76,0.74,0.65,0.71,0.79,0.79,0.78,0.72,0.65,0.65,0.65,0.58,0.50,0.55,0.72,0.60,0.63,0.59,0.50,0.62,0.47,0.42,0.50
74-1,NaN,0.94,1.00,0.95,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.98,0.98,0.98,0.98,1.00,1.00,1.00,1.00,0.89,0.98,0.89,0.89,0.89,0.89,1.00,0.96,1.00,0.86,0.86,0.97,0.67,0.67,0.67,0.88,0.88,0.88,0.95,0.87,0.88,0.75,0.74,1.00,0.74,0.72,0.64,0.59,0.59,0.74,0.62,0.66,0.77,0.50,0.50,0.49,0.67,0.50,0.48,0.56,0.64,0.77,0.58,0.61,0.71,0.48,0.54,0.59
74-2,NaN,0.86,1.00,0.89,0.99,0.89,0.83,0.85,0.95,0.97,0.96,0.96,0.90,0.91,0.91,0.91,0.96,0.95,0.95,0.97,0.92,0.95,0.81,0.81,0.80,0.80,0.85,0.94,0.84,0.77,0.77,0.96,0.50,0.50,0.50,0.79,0.83,0.83,0.91,0.88,0.88,0.76,0.50,0.94,0.49,0.78,0.69,0.50,0.50,0.90,0.66,0.73,0.79,0.74,0.74,0.74,0.64,0.72,0.53,0.58,0.67,0.66,0.54,0.48,0.64,0.56,0.51,0.51
75-1,NaN,NaN,1.00,NaN,1.00,NaN,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.99,NaN,NaN,NaN,NaN,1.00,0.99,1.00,NaN,NaN,0.99,0.77,0.77,0.76,0.97,0.98,0.98,0.99,0.92,0.92,NaN,0.96,0.99,NaN,0.75,0.90,NaN,NaN,0.99,0.41,0.99,0.96,NaN,NaN,NaN,0.55,NaN,0.82,0.59,0.82,0.62,0.96,NaN,0.61,0.53,0.67,NaN
75-2,NaN,1.00,1.00,1.00,1.00,1.00,0.92,0.92,1.00,0.98,0.95,1.00,0.97,0.97,0.96,0.96,1.00,1.00,1.00,0.98,0.97,0.95,0.96,0.95,0.95,0.95,0.91,0.98,0.91,0.75,0.75,0.96,0.79,0.79,0.79,0.88,0.88,0.88,0.92,0.88,0.88,0.69,0.85,0.93,0.66,0.81,0.77,0.72,0.73,0.90,0.77,0.81,0.87,0.76,0.75,0.75,0.66,0.70,0.72,0.62,0.79,0.74,0.59,0.59,0.70,0.66,0.48,0.48
79-1,NaN,0.95,1.00,0.95,1.00,0.95,0.99,0.99,1.00,0.99,1.00,0.96,0.94,0.94,0.94,0.94,1.00,0.99,0.94,0.98,0.77,0.96,0.55,0.74,0.74,0.74,0.94,0.79,0.94,0.86,0.85,0.89,0.75,0.65,0.75,0.72,0.87,0.79,0.87,0.86,0.87,0.81,0.69,0.83,0.77,0.85,0.76,0.62,0.66,0.78,0.70,0.81,0.80,0.72,0.72,0.72,0.68,0.50,0.75,0.63,0.66,0.57,0.63,0.50,0.52,0.58,0.42,0.49
