ID-model,GO:0005575,GO:0044463,GO:0015630,GO:0042995,GO:0044459,GO:0044430,GO:0005856,GO:0043228,GO:0043232,GO:0005730,GO:0005783,GO:0044425,GO:0031981,GO:0016021,GO:0043234,GO:0070013,GO:0005576,GO:0043233,GO:0044421,GO:0031974,GO:0032991,GO:0031224,GO:0005634,GO:0005886,GO:0044428,GO:0005739,GO:0005615,GO:0005829,GO:0071944,GO:0016020,GO:0044444,GO:0043230,GO:0065010,GO:0070062,GO:0031982,GO:0031988,GO:0044432,GO:0005737,GO:0044446,GO:0043226,GO:0044422,GO:0031090,GO:0043227,GO:0043229,GO:0012505,GO:0044424,GO:0005622,GO:0043231,GO:0005794,GO:0031975,GO:0005623,GO:0044464
127-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
128-1,NaN,0.64,0.34,0.62,0.61,0.66,0.67,0.55,0.55,0.52,0.74,0.61,0.58,0.74,0.64,0.56,0.59,0.56,0.59,0.55,0.65,0.73,0.64,0.63,0.58,0.55,0.55,0.46,0.61,0.56,0.54,0.58,0.58,0.58,0.59,0.57,0.60,0.54,0.47,0.53,0.46,0.55,0.51,0.51,0.48,0.53,0.53,0.52,0.63,0.38,0.45,0.46
129-1,NaN,0.83,0.82,0.77,0.68,0.75,0.73,0.72,0.72,0.76,0.79,0.68,0.76,0.57,0.65,0.75,0.66,0.75,0.65,0.75,0.69,0.56,0.71,0.70,0.69,0.69,0.60,0.72,0.67,0.65,0.66,0.55,0.55,0.54,0.56,0.56,0.67,0.62,0.62,0.57,0.61,0.64,0.56,0.63,0.59,0.62,0.62,0.62,0.68,0.43,0.49,0.49
129-2,NaN,0.81,0.70,0.84,0.88,0.65,0.75,0.72,0.72,0.71,0.55,0.57,0.73,0.53,0.71,0.70,0.61,0.70,0.62,0.71,0.70,0.39,0.70,0.68,0.65,0.60,0.64,0.78,0.67,0.67,0.58,0.54,0.54,0.55,0.56,0.57,0.47,0.56,0.59,0.48,0.59,0.50,0.47,0.59,0.33,0.59,0.60,0.56,0.51,0.30,0.51,0.51
129-3,NaN,0.83,0.82,0.77,0.68,0.75,0.73,0.73,0.73,0.77,0.79,0.68,0.76,0.56,0.65,0.76,0.67,0.76,0.65,0.76,0.69,0.55,0.72,0.70,0.70,0.69,0.60,0.72,0.67,0.64,0.67,0.55,0.55,0.55,0.56,0.56,0.66,0.62,0.62,0.57,0.62,0.64,0.56,0.64,0.59,0.62,0.62,0.62,0.68,0.44,0.49,0.49
130-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
130-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
130-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
131-1,NaN,0.56,0.61,0.59,0.56,0.56,0.61,0.65,0.65,0.73,0.66,0.67,0.69,0.86,0.57,0.68,0.61,0.68,0.52,0.68,0.54,0.72,0.75,0.65,0.65,0.81,0.50,0.48,0.63,0.63,0.71,0.50,0.50,0.50,0.50,0.50,0.54,0.68,0.62,0.60,0.62,0.66,0.58,0.70,0.59,0.71,0.71,0.71,0.64,0.60,0.65,0.65
131-2,NaN,0.56,0.61,0.54,0.56,0.57,0.61,0.68,0.68,0.80,0.69,0.67,0.74,0.81,0.57,0.70,0.62,0.70,0.52,0.70,0.55,0.69,0.76,0.66,0.71,0.83,0.50,0.49,0.64,0.67,0.72,0.50,0.50,0.50,0.50,0.50,0.57,0.70,0.64,0.60,0.64,0.69,0.58,0.70,0.64,0.71,0.70,0.71,0.64,0.60,0.65,0.64
131-3,NaN,0.62,0.69,0.68,0.64,0.65,0.65,0.69,0.69,0.76,0.68,0.64,0.71,0.70,0.63,0.66,0.60,0.66,0.54,0.65,0.63,0.65,0.68,0.67,0.66,0.70,0.53,0.47,0.66,0.61,0.58,0.50,0.50,0.50,0.49,0.49,0.57,0.62,0.65,0.60,0.65,0.69,0.58,0.65,0.61,0.66,0.66,0.65,0.72,0.58,0.60,0.60
132-1,NaN,0.74,0.70,0.72,0.77,0.76,0.72,0.73,0.73,0.83,0.62,0.61,0.81,0.56,0.70,0.79,0.57,0.79,0.57,0.79,0.65,0.59,0.66,0.70,0.72,0.76,0.53,0.62,0.73,0.59,0.65,0.50,0.50,0.50,0.51,0.51,0.67,0.58,0.62,0.59,0.60,0.52,0.55,0.64,0.59,0.61,0.62,0.63,0.62,0.60,0.56,0.57
132-2,NaN,0.73,0.69,0.71,0.76,0.76,0.71,0.70,0.70,0.82,0.62,0.63,0.79,0.55,0.74,0.77,0.58,0.77,0.58,0.78,0.68,0.61,0.66,0.68,0.69,0.75,0.54,0.65,0.71,0.58,0.66,0.50,0.50,0.50,0.51,0.52,0.70,0.58,0.61,0.60,0.59,0.54,0.56,0.64,0.60,0.62,0.62,0.63,0.66,0.59,0.56,0.56
65-1,NaN,0.67,0.50,0.59,0.71,0.57,0.60,0.56,0.56,0.48,0.58,0.65,0.66,0.69,0.69,0.68,0.62,0.68,0.62,0.68,0.68,0.73,0.65,0.65,0.65,0.50,0.53,0.54,0.72,0.52,0.50,0.56,0.54,0.53,0.57,0.58,0.65,0.51,0.56,0.58,0.55,0.57,0.58,0.56,0.56,0.54,0.54,0.57,0.52,0.45,0.56,0.56
65-2,NaN,0.59,0.52,0.61,0.70,0.58,0.61,0.57,0.57,0.55,0.64,0.65,0.75,0.72,0.67,0.75,0.63,0.75,0.63,0.75,0.68,0.72,0.69,0.66,0.69,0.51,0.54,0.66,0.73,0.54,0.50,0.54,0.53,0.52,0.58,0.58,0.61,0.53,0.57,0.57,0.56,0.60,0.57,0.56,0.54,0.56,0.55,0.57,0.54,0.47,0.56,0.56
65-3,NaN,0.73,0.54,0.64,0.73,0.57,0.63,0.57,0.57,0.56,0.67,0.65,0.68,0.68,0.70,0.69,0.62,0.69,0.63,0.69,0.68,0.77,0.65,0.66,0.63,0.59,0.54,0.61,0.72,0.53,0.50,0.53,0.53,0.53,0.56,0.56,0.58,0.52,0.56,0.56,0.55,0.58,0.56,0.56,0.58,0.54,0.54,0.56,0.48,0.52,0.56,0.56
68-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
68-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
69-1,NaN,NaN,0.94,0.94,0.52,0.95,0.97,0.88,0.88,0.89,0.96,0.65,0.82,0.73,0.93,0.77,NaN,0.76,NaN,0.75,0.89,0.72,0.81,0.83,0.78,0.76,NaN,0.61,0.82,0.71,0.78,NaN,NaN,NaN,0.25,0.26,NaN,0.73,0.66,0.78,0.67,0.68,0.77,0.78,0.60,0.72,0.72,0.77,0.99,0.92,0.60,0.60
69-2,NaN,0.70,0.83,0.67,0.72,0.78,0.76,0.70,0.70,0.69,0.71,0.66,0.70,0.66,0.77,0.68,0.65,0.68,0.62,0.68,0.75,0.62,0.72,0.65,0.63,0.64,0.68,0.69,0.65,0.63,0.67,0.54,0.54,0.55,0.53,0.54,0.58,0.62,0.60,0.63,0.58,0.55,0.61,0.66,0.57,0.64,0.65,0.66,0.59,0.56,0.57,0.58
70-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
70-2,NaN,0.77,0.78,0.80,0.77,0.69,0.71,0.75,0.77,0.82,0.68,0.64,0.84,0.52,0.59,0.80,0.58,0.80,0.58,0.82,0.61,0.54,0.73,0.72,0.74,0.73,0.52,0.70,0.70,0.63,0.65,0.50,0.50,0.50,0.55,0.55,0.64,0.60,0.67,0.59,0.66,0.57,0.59,0.67,0.57,0.64,0.64,0.68,0.71,0.58,0.56,0.57
70-3,NaN,0.75,0.76,0.76,0.70,0.60,0.75,0.75,0.73,0.50,0.65,0.64,0.77,0.61,0.53,0.73,0.60,0.73,0.57,0.73,0.61,0.58,0.71,0.66,0.74,0.56,0.51,0.74,0.67,0.59,0.64,0.50,0.50,0.50,0.53,0.52,0.65,0.61,0.64,0.55,0.63,0.52,0.55,0.63,0.55,0.60,0.60,0.65,0.66,0.67,0.56,0.56
72-1,NaN,0.54,0.54,0.52,0.66,0.52,0.57,0.65,0.65,0.80,0.66,0.60,0.75,0.73,0.53,0.71,0.56,0.71,0.52,0.71,0.52,0.66,0.66,0.70,0.73,0.76,0.51,0.61,0.67,0.67,0.66,0.50,0.50,0.50,0.49,0.49,0.53,0.64,0.62,0.54,0.61,0.62,0.53,0.62,0.60,0.63,0.63,0.61,0.59,0.62,0.53,0.53
72-2,NaN,0.50,0.54,0.50,0.66,0.50,0.54,0.65,0.65,0.80,0.66,0.61,0.73,0.73,0.51,0.70,0.56,0.70,0.52,0.70,0.51,0.67,0.66,0.70,0.70,0.76,0.51,0.61,0.68,0.67,0.66,0.50,0.50,0.50,0.49,0.49,0.53,0.65,0.61,0.53,0.60,0.61,0.53,0.62,0.55,0.63,0.63,0.62,0.59,0.56,0.52,0.52
73-1,NaN,0.68,0.79,0.65,0.62,0.70,0.71,0.65,0.65,0.71,0.71,0.59,0.71,0.64,0.67,0.67,0.61,0.67,0.59,0.67,0.65,0.62,0.65,0.66,0.66,0.75,0.67,0.61,0.63,0.60,0.63,0.55,0.55,0.55,0.52,0.52,0.59,0.62,0.59,0.57,0.60,0.66,0.56,0.59,0.55,0.60,0.57,0.59,0.75,0.50,0.53,0.53
73-2,NaN,0.71,0.79,0.66,0.62,0.70,0.71,0.64,0.64,0.68,0.71,0.59,0.69,0.64,0.67,0.66,0.61,0.66,0.59,0.65,0.66,0.62,0.65,0.65,0.64,0.76,0.69,0.62,0.63,0.60,0.63,0.54,0.54,0.54,0.53,0.52,0.63,0.62,0.59,0.57,0.59,0.67,0.56,0.59,0.55,0.59,0.57,0.59,0.75,0.50,0.52,0.52
73-3,NaN,0.70,0.75,0.70,0.61,0.69,0.66,0.61,0.62,0.52,0.64,0.55,0.62,0.52,0.63,0.62,0.59,0.61,0.59,0.61,0.61,0.56,0.56,0.55,0.59,0.65,0.48,0.52,0.60,0.56,0.55,0.55,0.55,0.50,0.51,0.51,0.55,0.53,0.57,0.52,0.56,0.61,0.51,0.53,0.54,0.52,0.52,0.52,0.65,0.35,0.51,0.51
74-1,NaN,0.73,0.80,0.76,0.71,0.82,0.82,0.76,0.76,0.65,0.72,0.76,0.64,0.92,0.55,0.58,0.65,0.58,0.57,0.58,0.60,0.79,0.75,0.78,0.64,0.89,0.59,0.47,0.78,0.71,0.73,0.50,0.50,0.50,0.52,0.53,0.67,0.64,0.73,0.63,0.71,0.77,0.62,0.71,0.65,0.66,0.66,0.72,0.72,0.71,0.63,0.63
74-2,NaN,0.65,0.69,0.71,0.58,0.68,0.68,0.64,0.64,0.59,0.77,0.68,0.65,0.74,0.68,0.65,0.65,0.65,0.62,0.64,0.67,0.67,0.71,0.62,0.61,0.70,0.61,0.53,0.61,0.66,0.67,0.50,0.50,0.50,0.50,0.50,0.65,0.61,0.64,0.58,0.64,0.65,0.56,0.64,0.68,0.62,0.62,0.65,0.71,0.64,0.52,0.52
75-1,NaN,NaN,0.94,0.94,0.52,0.95,0.97,0.95,0.95,0.99,0.96,0.65,0.92,0.74,0.92,0.89,NaN,0.88,NaN,0.88,0.88,0.73,0.85,0.86,0.86,0.76,NaN,0.60,0.85,0.71,0.80,NaN,NaN,NaN,0.25,0.26,NaN,0.77,0.72,0.81,0.72,0.68,0.80,0.81,0.60,0.73,0.73,0.80,0.98,0.92,0.54,0.54
75-2,NaN,0.70,0.86,0.67,0.72,0.79,0.77,0.73,0.73,0.76,0.80,0.73,0.74,0.81,0.78,0.72,0.65,0.72,0.62,0.72,0.76,0.74,0.76,0.72,0.68,0.76,0.67,0.69,0.71,0.66,0.76,0.54,0.54,0.55,0.53,0.54,0.64,0.66,0.68,0.65,0.67,0.76,0.64,0.71,0.64,0.66,0.66,0.72,0.71,0.61,0.58,0.58
79-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
79-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
79-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
80-1,NaN,0.73,0.76,0.72,0.71,0.78,0.79,0.75,0.75,0.65,0.72,0.75,0.65,0.95,0.53,0.59,0.65,0.59,0.57,0.58,0.58,0.80,0.75,0.80,0.65,0.82,0.58,0.46,0.80,0.74,0.75,0.50,0.50,0.50,0.52,0.53,0.67,0.68,0.73,0.63,0.72,0.79,0.62,0.72,0.66,0.68,0.68,0.72,0.79,0.72,0.65,0.65
80-2,NaN,0.65,0.74,0.71,0.58,0.68,0.68,0.70,0.70,0.76,0.81,0.68,0.72,0.76,0.67,0.71,0.65,0.71,0.62,0.71,0.67,0.68,0.76,0.73,0.69,0.78,0.61,0.53,0.71,0.67,0.73,0.50,0.50,0.50,0.49,0.49,0.69,0.66,0.71,0.61,0.70,0.76,0.59,0.69,0.70,0.66,0.66,0.71,0.77,0.70,0.57,0.57
81-1,NaN,0.53,0.50,0.52,0.58,0.57,0.58,0.55,0.55,0.50,0.59,0.63,0.54,0.54,0.57,0.53,0.60,0.53,0.58,0.53,0.56,0.60,0.67,0.58,0.59,0.77,0.55,0.50,0.58,0.58,0.63,0.50,0.50,0.50,0.51,0.51,0.57,0.59,0.60,0.56,0.60,0.56,0.56,0.64,0.54,0.64,0.65,0.65,0.57,0.55,0.63,0.63
81-2,NaN,0.53,0.50,0.52,0.58,0.57,0.58,0.55,0.55,0.50,0.59,0.63,0.54,0.54,0.57,0.53,0.60,0.53,0.58,0.53,0.56,0.60,0.67,0.58,0.59,0.77,0.55,0.50,0.58,0.58,0.63,0.50,0.50,0.50,0.51,0.51,0.57,0.59,0.60,0.56,0.60,0.56,0.56,0.64,0.54,0.64,0.65,0.65,0.57,0.55,0.63,0.63
82-1,NaN,0.50,0.57,0.49,0.57,0.59,0.58,0.60,0.60,0.69,0.62,0.64,0.66,0.56,0.62,0.64,0.51,0.64,0.51,0.64,0.57,0.61,0.62,0.71,0.65,0.54,0.52,0.56,0.69,0.62,0.49,0.50,0.50,0.50,0.52,0.52,0.59,0.51,0.61,0.53,0.61,0.55,0.52,0.54,0.51,0.51,0.51,0.53,0.55,0.50,0.51,0.52
83-1,NaN,0.79,0.72,0.74,0.71,0.73,0.73,0.74,0.73,0.78,0.84,0.69,0.73,0.73,0.63,0.68,0.64,0.67,0.63,0.67,0.64,0.70,0.72,0.66,0.72,0.83,0.61,0.59,0.69,0.64,0.52,0.56,0.56,0.56,0.59,0.59,0.78,0.47,0.66,0.58,0.64,0.75,0.57,0.52,0.66,0.48,0.48,0.52,0.77,0.78,0.46,0.45
83-2,NaN,0.79,0.72,0.74,0.67,0.74,0.73,0.74,0.74,0.78,0.84,0.69,0.74,0.73,0.62,0.69,0.64,0.69,0.64,0.69,0.63,0.70,0.73,0.66,0.72,0.83,0.61,0.60,0.66,0.64,0.52,0.56,0.56,0.56,0.61,0.61,0.78,0.47,0.66,0.59,0.63,0.76,0.58,0.53,0.67,0.48,0.48,0.53,0.77,0.72,0.45,0.43
84-1,NaN,0.56,0.56,0.64,0.88,0.49,0.59,0.59,0.59,0.66,0.55,0.72,0.68,0.78,0.55,0.64,0.45,0.64,0.49,0.64,0.59,0.77,0.56,0.68,0.66,0.78,0.48,0.70,0.72,0.60,0.65,0.50,0.50,0.50,0.45,0.45,0.50,0.59,0.60,0.52,0.59,0.57,0.55,0.56,0.77,0.56,0.56,0.58,0.57,0.61,0.60,0.60
85-1,NaN,0.73,0.85,0.75,0.75,0.84,0.79,0.68,0.68,0.65,0.76,0.73,0.74,0.72,0.75,0.73,0.65,0.72,0.66,0.72,0.72,0.68,0.74,0.72,0.71,0.64,0.57,0.69,0.70,0.65,0.65,0.54,0.54,0.54,0.57,0.57,0.56,0.60,0.67,0.59,0.66,0.63,0.56,0.62,0.60,0.63,0.63,0.61,0.57,0.56,0.52,0.52
85-2,NaN,0.82,0.76,0.70,0.75,0.78,0.72,0.67,0.67,0.66,0.71,0.71,0.72,0.58,0.67,0.70,0.67,0.71,0.66,0.71,0.65,0.58,0.67,0.66,0.71,0.60,0.61,0.59,0.62,0.61,0.61,0.54,0.54,0.53,0.61,0.61,0.64,0.53,0.62,0.59,0.61,0.56,0.57,0.56,0.53,0.59,0.59,0.55,0.61,0.60,0.49,0.49
86-1,NaN,0.52,0.56,0.53,0.56,0.63,0.59,0.58,0.58,0.56,0.61,0.58,0.57,0.56,0.58,0.56,0.54,0.56,0.53,0.56,0.60,0.54,0.68,0.57,0.58,0.57,0.50,0.53,0.57,0.58,0.58,0.50,0.50,0.50,0.52,0.51,0.53,0.55,0.52,0.50,0.52,0.50,0.48,0.59,0.54,0.55,0.55,0.62,0.61,0.48,0.52,0.52
86-2,NaN,0.52,0.56,0.53,0.56,0.63,0.59,0.58,0.58,0.56,0.61,0.58,0.57,0.56,0.58,0.56,0.54,0.56,0.53,0.56,0.60,0.54,0.68,0.57,0.58,0.57,0.50,0.53,0.57,0.58,0.58,0.50,0.50,0.50,0.52,0.51,0.53,0.55,0.52,0.50,0.52,0.50,0.48,0.59,0.54,0.55,0.55,0.62,0.61,0.48,0.52,0.52
86-3,NaN,0.53,0.47,0.54,0.56,0.62,0.58,0.60,0.60,0.57,0.63,0.56,0.60,0.58,0.58,0.58,0.54,0.58,0.53,0.58,0.58,0.56,0.66,0.55,0.56,0.58,0.50,0.50,0.55,0.57,0.58,0.50,0.50,0.50,0.52,0.51,0.53,0.54,0.54,0.52,0.53,0.52,0.51,0.63,0.55,0.60,0.60,0.63,0.60,0.48,0.56,0.56
87-1,NaN,0.67,0.66,0.67,0.68,0.65,0.64,0.67,0.67,0.75,0.70,0.71,0.67,0.77,0.65,0.64,0.59,0.64,0.53,0.64,0.64,0.74,0.67,0.72,0.67,0.68,0.50,0.61,0.69,0.67,0.66,0.50,0.50,0.50,0.52,0.51,0.63,0.60,0.66,0.56,0.65,0.75,0.54,0.61,0.70,0.58,0.58,0.61,0.61,0.59,0.53,0.53
87-2,NaN,0.67,0.66,0.67,0.68,0.62,0.60,0.66,0.66,0.75,0.70,0.73,0.67,0.77,0.65,0.64,0.59,0.64,0.53,0.64,0.64,0.73,0.66,0.73,0.66,0.69,0.50,0.61,0.70,0.68,0.66,0.50,0.50,0.50,0.52,0.51,0.63,0.61,0.65,0.55,0.64,0.75,0.54,0.60,0.70,0.58,0.58,0.61,0.61,0.58,0.54,0.54
87-3,NaN,0.64,0.65,0.65,0.74,0.66,0.67,0.68,0.68,0.72,0.65,0.74,0.67,0.78,0.68,0.65,0.58,0.65,0.53,0.65,0.65,0.75,0.68,0.70,0.66,0.81,0.50,0.58,0.68,0.65,0.67,0.50,0.50,0.50,0.51,0.51,0.54,0.63,0.66,0.58,0.65,0.72,0.56,0.65,0.62,0.62,0.62,0.64,0.59,0.49,0.58,0.58
88-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
89-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
89-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
89-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
91-1,NaN,NaN,0.95,NaN,NaN,0.97,0.65,0.50,0.50,0.56,0.51,0.45,0.51,0.47,0.44,0.51,0.49,0.51,0.49,0.51,0.40,0.47,0.54,0.49,0.47,0.54,0.48,0.54,0.47,0.45,0.57,0.50,0.50,0.50,0.50,0.50,0.47,0.53,0.40,0.50,0.40,0.48,0.47,0.53,0.39,0.54,0.54,0.53,0.42,0.45,0.50,0.50
91-2,NaN,NaN,0.94,NaN,NaN,0.94,0.65,0.51,0.51,0.56,0.51,0.55,0.52,0.47,0.45,0.53,0.49,0.53,0.49,0.53,0.41,0.47,0.53,0.54,0.48,0.54,0.48,0.48,0.54,0.49,0.56,0.50,0.50,0.50,0.50,0.51,0.47,0.46,0.43,0.47,0.43,0.49,0.47,0.50,0.39,0.49,0.50,0.52,0.42,0.45,0.49,0.49
91-3,NaN,NaN,0.39,NaN,NaN,0.35,0.55,0.47,0.47,0.55,0.56,0.45,0.51,0.45,0.53,0.50,0.58,0.50,0.58,0.50,0.52,0.45,0.47,0.57,0.49,0.44,0.63,0.36,0.57,0.52,0.61,0.53,0.53,0.53,0.58,0.59,0.55,0.63,0.44,0.55,0.44,0.43,0.58,0.51,0.51,0.59,0.59,0.54,0.34,0.63,0.59,0.59
93-1,NaN,NaN,NaN,NaN,0.75,NaN,NaN,NaN,NaN,NaN,NaN,0.75,NaN,0.73,0.97,NaN,NaN,NaN,NaN,NaN,0.97,0.73,NaN,0.79,NaN,NaN,NaN,0.50,0.75,0.90,0.50,NaN,NaN,NaN,NaN,NaN,NaN,0.69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.54,0.54,NaN,NaN,0.63,0.50,0.50
93-2,NaN,NaN,NaN,NaN,0.75,NaN,NaN,NaN,NaN,NaN,NaN,0.75,NaN,0.73,0.94,NaN,NaN,NaN,NaN,NaN,0.91,0.73,NaN,0.69,NaN,NaN,NaN,0.83,0.67,0.82,0.57,NaN,NaN,NaN,NaN,NaN,NaN,0.64,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.58,0.54,NaN,NaN,0.65,0.47,0.47
94-1,NaN,0.67,0.74,0.70,0.57,0.76,0.75,0.74,0.74,0.77,0.67,0.69,0.74,0.80,0.66,0.72,0.60,0.72,0.55,0.72,0.62,0.73,0.73,0.66,0.71,0.74,0.51,0.51,0.64,0.66,0.67,0.51,0.51,0.51,0.53,0.52,0.60,0.66,0.65,0.58,0.65,0.68,0.57,0.65,0.62,0.65,0.64,0.66,0.70,0.59,0.58,0.58
95-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
95-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
96-1,NaN,0.44,0.60,0.48,0.60,0.56,0.52,0.47,0.47,0.50,0.47,0.54,0.40,0.53,0.53,0.42,0.49,0.42,0.48,0.41,0.51,0.58,0.46,0.50,0.47,0.31,0.52,0.47,0.51,0.50,0.50,0.50,0.50,0.50,0.47,0.47,0.47,0.50,0.49,0.50,0.49,0.52,0.49,0.49,0.46,0.50,0.50,0.49,0.47,0.48,0.50,0.50
