ID-model,GO:0003674,GO:0016409,GO:0016757,GO:0016829,GO:0016747,GO:0070011,GO:0016746,GO:0017111,GO:0016874,GO:0016491,GO:0004672,GO:0016788,GO:0016879,GO:0015075,GO:0004842,GO:0019787,GO:0016881,GO:0004871,GO:0060089,GO:0008233,GO:0016462,GO:0016818,GO:0016817,GO:0032555,GO:0032553,GO:0003677,GO:0000975,GO:0044212,GO:0001067,GO:0016787,GO:0003676,GO:0003700,GO:0016740,GO:0016301,GO:0017076,GO:0043565,GO:0000166,GO:1901265,GO:0038023,GO:0030695,GO:0000976,GO:0001071,GO:0097159,GO:0004872,GO:0000981,GO:1901363,GO:0003824,GO:0022857,GO:0036094,GO:0016773,GO:0022891,GO:0016772,GO:0043168,GO:0005215,GO:0008289,GO:0022892,GO:0000977,GO:0001012,GO:0060589,GO:0008092,GO:0008047,GO:0030234,GO:0017016,GO:0031267,GO:0051020,GO:0043167,GO:0032403,GO:0017137,GO:0005515,GO:0005102,GO:0005488,GO:0046872,GO:0042802,GO:0043169,GO:0019899,GO:0042803,GO:0046983,GO:0019900
115-1,NaN,1.00,1.00,1.00,0.96,0.99,0.96,0.96,0.98,0.95,1.00,0.97,0.97,0.96,0.98,0.98,0.97,0.94,0.94,0.99,0.96,0.96,0.96,0.93,0.93,0.97,0.74,0.74,0.74,0.96,0.96,0.88,0.95,0.90,0.85,0.87,0.79,0.79,0.99,0.99,0.86,0.83,0.87,0.99,0.79,0.87,0.91,0.97,0.73,0.94,0.98,0.91,0.82,0.96,0.82,0.96,0.78,0.78,0.95,0.77,0.83,0.88,0.76,0.76,0.76,0.74,0.59,0.71,0.78,0.56,0.68,0.84,0.60,0.82,0.71,0.54,0.60,0.75
116-1,NaN,0.68,1.00,0.87,0.72,0.78,0.84,0.85,0.75,0.97,0.95,0.88,0.68,0.84,0.65,0.65,0.65,0.94,0.94,0.79,0.86,0.86,0.86,0.95,0.95,0.91,0.52,0.52,0.52,0.90,0.91,0.72,0.90,0.89,0.91,0.63,0.83,0.83,0.94,0.83,0.54,0.72,0.83,0.94,0.50,0.83,0.87,0.95,0.77,0.89,0.91,0.90,0.81,0.99,0.66,0.92,0.50,0.50,0.77,0.56,0.82,0.77,0.50,0.50,0.50,0.67,0.50,0.50,0.59,0.50,0.65,0.68,0.52,0.66,0.50,0.50,0.49,0.50
116-2,NaN,0.50,1.00,0.83,0.61,0.73,0.61,0.80,0.68,0.90,0.95,0.88,0.63,0.89,0.65,0.65,0.65,0.94,0.94,0.74,0.82,0.82,0.82,0.83,0.83,0.87,0.52,0.52,0.52,0.87,0.88,0.72,0.79,0.89,0.80,0.58,0.79,0.79,0.94,0.81,0.54,0.72,0.82,0.95,0.50,0.82,0.83,0.86,0.74,0.89,0.94,0.83,0.75,0.95,0.69,0.90,0.50,0.50,0.75,0.53,0.78,0.75,0.50,0.50,0.50,0.64,0.50,0.50,0.58,0.50,0.66,0.62,0.52,0.60,0.50,0.50,0.50,0.50
117-1,NaN,1.00,1.00,0.99,0.96,1.00,0.96,0.93,0.90,0.98,0.95,0.90,0.91,0.90,0.94,0.94,0.92,0.90,0.90,1.00,0.91,0.91,0.91,0.93,0.93,0.93,0.90,0.90,0.90,0.91,0.91,0.92,0.92,0.92,0.90,0.89,0.87,0.87,0.87,0.89,0.85,0.92,0.84,0.85,0.91,0.84,0.89,0.89,0.84,0.95,0.89,0.90,0.82,0.86,0.80,0.84,0.82,0.82,0.79,0.83,0.74,0.76,0.86,0.84,0.83,0.66,0.71,0.75,0.62,0.64,0.56,0.61,0.45,0.60,0.50,0.59,0.56,0.55
117-2,NaN,1.00,1.00,0.99,1.00,0.99,1.00,0.89,0.75,0.96,0.50,0.86,0.75,0.99,0.50,0.50,0.50,1.00,1.00,0.94,0.82,0.82,0.82,0.86,0.86,0.83,0.50,0.50,0.50,0.88,0.83,0.49,0.97,0.50,0.86,0.69,0.86,0.86,1.00,1.00,0.50,0.49,0.81,1.00,0.50,0.81,0.89,0.99,0.85,0.50,0.99,1.00,0.84,0.98,1.00,0.99,0.50,0.50,0.87,0.66,0.80,0.85,0.50,0.50,0.50,0.68,0.50,0.50,0.59,0.66,0.62,0.56,0.50,0.56,0.49,NaN,0.49,0.49
119-1,NaN,1.00,1.00,1.00,0.96,1.00,0.96,0.95,0.92,0.98,1.00,0.98,0.80,0.88,0.79,0.79,0.78,0.98,0.98,0.97,0.91,0.91,0.91,0.97,0.96,0.93,0.77,0.77,0.77,0.94,0.93,0.92,0.98,0.99,0.94,0.84,0.90,0.90,0.99,0.80,0.77,0.91,0.87,0.99,0.72,0.87,0.91,0.92,0.84,1.00,0.92,0.99,0.84,0.92,0.79,0.90,0.66,0.66,0.79,0.78,0.75,0.73,0.56,0.56,0.56,0.72,0.62,0.54,0.65,0.63,0.61,0.74,0.54,0.70,0.51,0.53,0.49,0.49
120-1,NaN,1.00,1.00,1.00,0.98,1.00,0.99,0.98,0.98,0.99,1.00,0.97,0.97,0.95,0.95,0.97,0.96,0.98,0.98,0.98,0.95,0.95,0.95,0.94,0.94,0.95,0.93,0.93,0.93,0.95,0.94,0.93,0.99,0.97,0.89,0.93,0.85,0.85,0.99,0.98,0.88,0.92,0.85,0.98,0.94,0.85,0.91,0.98,0.77,1.00,0.97,0.98,0.84,0.96,0.87,0.95,0.85,0.84,0.91,0.87,0.84,0.87,0.77,0.76,0.76,0.71,0.60,0.75,0.70,0.62,0.54,0.80,0.63,0.77,0.57,0.62,0.58,0.66
120-2,NaN,0.50,0.50,0.68,0.50,0.96,0.97,0.76,0.58,0.78,1.00,0.83,0.62,0.98,0.64,0.64,0.64,0.74,0.74,0.94,0.85,0.85,0.85,0.89,0.89,0.84,0.68,0.68,0.68,0.86,0.87,0.88,0.78,0.94,0.84,0.79,0.85,0.85,0.79,0.76,0.70,0.88,0.78,0.80,0.73,0.79,0.81,0.89,0.77,0.86,0.88,0.86,0.75,0.91,0.74,0.87,0.50,0.50,0.70,0.80,0.66,0.70,0.50,0.55,0.55,0.68,0.63,0.50,0.69,0.53,0.55,0.67,0.54,0.66,0.62,0.47,0.53,0.72
120-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.54,0.67,0.88,0.58,0.57,0.86,0.50,0.58,0.58,0.74,0.74,0.61,0.54,0.54,0.54,0.47,0.47,0.82,0.69,0.67,0.69,0.70,0.86,0.77,0.61,0.82,0.47,0.68,0.73,0.73,0.77,0.50,0.50,0.74,0.73,0.81,0.50,0.75,0.71,0.85,0.71,0.73,0.80,0.69,0.47,0.86,0.55,0.83,0.50,0.50,0.50,0.50,0.50,0.53,0.50,0.50,0.50,0.57,0.50,0.50,0.50,0.50,0.63,0.64,0.50,0.63,0.50,0.50,0.50,0.50
121-1,NaN,1.00,1.00,1.00,0.91,0.99,0.95,0.86,0.88,0.94,1.00,0.90,0.56,0.87,0.56,0.56,0.56,0.93,0.93,0.97,0.87,0.87,0.87,0.94,0.94,0.95,0.53,0.53,0.53,0.93,0.94,0.73,0.95,0.91,0.88,0.75,0.79,0.79,0.94,1.00,0.54,0.71,0.85,0.94,0.50,0.85,0.88,0.87,0.76,0.89,0.90,0.92,0.79,0.95,0.71,0.83,0.50,0.50,0.92,0.71,0.92,0.86,0.50,0.50,0.50,0.67,0.50,0.50,0.55,0.50,0.64,0.75,0.50,0.75,0.49,0.50,0.49,0.50
121-2,NaN,NaN,NaN,1.00,NaN,0.50,NaN,NaN,0.50,1.00,1.00,NaN,NaN,NaN,NaN,NaN,NaN,0.50,0.50,1.00,NaN,NaN,NaN,NaN,NaN,0.83,0.50,0.50,0.50,0.94,0.80,1.00,1.00,1.00,NaN,0.75,NaN,NaN,0.50,NaN,0.50,0.74,0.79,0.50,NaN,0.79,0.87,1.00,NaN,1.00,1.00,1.00,0.47,1.00,0.50,1.00,NaN,NaN,NaN,0.50,NaN,NaN,NaN,NaN,NaN,0.74,NaN,NaN,0.89,NaN,0.92,1.00,NaN,1.00,NaN,NaN,NaN,NaN
121-3,NaN,1.00,1.00,1.00,0.91,0.99,0.95,0.90,0.88,0.93,1.00,0.94,0.56,0.88,0.56,0.56,0.56,0.94,0.94,1.00,0.90,0.90,0.90,0.97,0.97,0.92,0.52,0.52,0.52,0.95,0.92,0.73,0.96,0.90,0.91,0.71,0.82,0.82,0.94,0.87,0.54,0.71,0.85,0.95,0.50,0.85,0.90,0.90,0.78,1.00,0.95,0.94,0.79,0.95,0.72,0.87,0.50,0.50,0.80,0.70,0.80,0.76,0.49,0.49,0.49,0.73,0.50,0.50,0.73,0.50,0.64,0.80,0.52,0.80,0.49,0.50,0.49,0.50
122-1,NaN,0.68,1.00,0.88,0.73,0.73,0.72,0.95,0.73,0.92,0.95,0.95,0.60,0.93,0.49,0.49,0.55,0.80,0.80,0.75,0.92,0.92,0.92,0.89,0.89,0.86,0.53,0.53,0.53,0.93,0.89,0.77,0.89,0.90,0.85,0.74,0.80,0.80,0.85,0.89,0.57,0.74,0.82,0.81,0.50,0.82,0.86,0.91,0.77,0.96,0.95,0.92,0.77,0.88,0.69,0.88,0.50,0.50,0.79,0.66,0.76,0.73,0.50,0.50,0.50,0.59,0.53,0.50,0.73,0.56,0.61,0.55,0.51,0.54,0.50,0.50,0.48,0.49
124-1,NaN,0.72,0.78,0.78,0.68,1.00,0.68,0.79,0.94,0.78,0.68,0.77,0.93,0.75,0.90,0.90,0.93,0.62,0.62,0.93,0.76,0.76,0.76,0.80,0.79,0.80,0.91,0.91,0.91,0.69,0.67,0.94,0.53,0.59,0.77,0.76,0.59,0.59,0.68,0.72,0.71,0.94,0.46,0.67,0.95,0.46,0.43,0.86,0.55,0.59,0.81,0.67,0.49,0.81,0.62,0.75,0.84,0.84,0.77,0.86,0.72,0.79,0.66,0.64,0.63,0.40,0.73,0.49,0.48,0.71,0.56,0.39,0.44,0.41,0.68,0.48,0.48,0.58
124-2,NaN,0.72,0.40,0.71,0.68,0.36,0.68,0.49,0.69,0.34,0.47,0.40,0.79,0.54,0.62,0.62,0.76,0.31,0.31,0.35,0.53,0.53,0.53,0.34,0.33,0.60,0.35,0.36,0.35,0.38,0.43,0.57,0.35,0.29,0.35,0.61,0.26,0.26,0.41,0.68,0.58,0.54,0.39,0.42,0.72,0.39,0.24,0.39,0.27,0.27,0.39,0.32,0.35,0.38,0.59,0.36,0.58,0.57,0.71,0.80,0.66,0.73,0.61,0.61,0.61,0.38,0.59,0.50,0.55,0.62,0.54,0.32,0.46,0.34,0.70,0.62,0.60,0.58
124-3,NaN,0.49,0.70,0.51,0.11,1.00,0.10,0.76,0.80,0.70,0.68,0.72,0.92,0.58,0.89,0.89,0.92,0.62,0.62,0.93,0.73,0.73,0.73,0.80,0.79,0.77,0.91,0.91,0.91,0.62,0.64,0.92,0.36,0.59,0.77,0.65,0.59,0.59,0.68,0.51,0.71,0.92,0.30,0.67,0.94,0.30,0.38,0.72,0.55,0.59,0.69,0.67,0.49,0.70,0.62,0.65,0.84,0.84,0.60,0.86,0.53,0.66,0.67,0.65,0.63,0.40,0.73,0.49,0.48,0.71,0.56,0.39,0.44,0.41,0.68,0.49,0.48,0.58
125-1,NaN,0.82,1.00,0.97,0.81,1.00,0.97,0.95,0.87,0.95,1.00,0.93,0.67,0.89,0.63,0.63,0.63,0.94,0.94,0.95,0.90,0.90,0.90,0.90,0.90,0.91,0.57,0.57,0.57,0.94,0.90,0.83,0.97,0.93,0.85,0.75,0.80,0.80,0.99,0.86,0.60,0.79,0.82,0.99,0.59,0.83,0.90,0.93,0.74,1.00,0.93,0.95,0.78,0.93,0.67,0.89,0.54,0.54,0.78,0.77,0.76,0.75,0.50,0.50,0.50,0.70,0.56,0.50,0.72,0.57,0.57,0.81,0.58,0.80,0.50,0.56,0.55,0.49
125-2,NaN,1.00,1.00,1.00,0.96,1.00,0.96,0.96,0.95,0.92,0.99,0.96,0.78,0.88,0.75,0.75,0.75,0.96,0.96,0.99,0.90,0.90,0.90,0.92,0.91,0.89,0.62,0.62,0.62,0.95,0.86,0.82,0.95,0.98,0.87,0.74,0.77,0.77,0.98,0.89,0.64,0.82,0.76,0.97,0.64,0.77,0.87,0.93,0.74,0.99,0.92,0.97,0.79,0.90,0.78,0.90,0.59,0.59,0.86,0.77,0.80,0.82,0.49,0.49,0.49,0.61,0.49,0.49,0.58,0.49,0.56,0.70,0.56,0.68,0.48,0.50,0.53,0.49
125-3,NaN,1.00,0.99,1.00,0.95,1.00,0.95,0.98,0.92,0.94,0.98,0.90,0.95,0.86,0.90,0.95,0.95,0.89,0.89,0.94,0.96,0.96,0.96,0.96,0.95,0.89,0.87,0.87,0.87,0.90,0.87,0.83,0.93,0.90,0.90,0.85,0.87,0.87,0.92,0.95,0.81,0.80,0.79,0.90,0.85,0.79,0.82,0.90,0.82,0.96,0.89,0.89,0.86,0.90,0.82,0.89,0.78,0.77,0.88,0.87,0.79,0.83,0.76,0.75,0.75,0.69,0.55,0.75,0.66,0.60,0.60,0.62,0.47,0.59,0.47,0.48,0.47,0.60
126-1,NaN,0.68,0.92,0.79,0.65,0.97,0.78,0.67,0.71,0.97,0.73,0.79,0.58,0.84,0.54,0.54,0.54,0.87,0.87,0.97,0.67,0.67,0.67,0.92,0.92,0.87,0.50,0.50,0.50,0.89,0.87,0.54,0.98,0.96,0.88,0.52,0.82,0.82,0.81,0.85,0.50,0.54,0.82,0.79,0.50,0.82,0.89,0.77,0.77,0.69,0.77,0.88,0.73,0.77,0.57,0.76,0.50,0.50,0.76,0.60,0.73,0.71,0.54,0.54,0.54,0.66,0.53,0.55,0.64,0.55,0.65,0.61,0.51,0.60,0.51,0.50,0.50,0.50
127-1,NaN,1.00,1.00,1.00,0.97,0.96,0.97,0.95,0.93,0.95,1.00,0.99,0.94,0.93,0.94,0.94,0.94,1.00,1.00,0.94,0.95,0.95,0.95,0.98,0.98,0.91,0.79,0.74,0.79,0.96,0.91,0.91,0.97,0.92,0.93,0.88,0.85,0.85,1.00,0.89,0.79,0.91,0.88,0.99,0.92,0.88,0.90,0.96,0.81,1.00,0.95,0.94,0.88,0.93,0.73,0.93,0.64,0.64,0.83,0.80,0.72,0.82,0.55,0.61,0.66,0.76,0.60,0.50,0.65,0.66,0.64,0.65,0.64,0.63,0.52,0.50,0.52,0.49
127-2,NaN,1.00,1.00,1.00,0.96,1.00,0.96,0.98,0.92,0.94,1.00,0.98,0.93,0.98,0.93,0.93,0.93,0.99,0.99,0.99,0.98,0.98,0.98,0.98,0.98,0.90,0.87,0.86,0.87,0.97,0.90,0.91,0.98,0.94,0.93,0.87,0.90,0.90,0.99,0.99,0.84,0.91,0.87,0.99,0.85,0.88,0.91,0.98,0.83,1.00,0.98,0.96,0.89,0.98,0.83,0.98,0.75,0.75,0.89,0.81,0.79,0.86,0.78,0.78,0.79,0.73,0.66,0.79,0.69,0.65,0.67,0.63,0.62,0.59,0.55,0.50,0.45,0.51
127-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
128-1,NaN,1.00,1.00,0.99,0.96,1.00,0.95,0.93,0.91,0.95,0.89,0.94,0.87,0.91,0.86,0.86,0.86,0.84,0.84,0.95,0.88,0.88,0.88,0.90,0.90,0.74,0.73,0.73,0.73,0.90,0.73,0.80,0.92,0.80,0.90,0.85,0.89,0.89,0.75,0.97,0.84,0.82,0.70,0.79,0.79,0.70,0.85,0.84,0.88,0.85,0.83,0.83,0.84,0.81,0.94,0.81,0.75,0.75,0.82,0.81,0.72,0.79,0.70,0.69,0.68,0.67,0.67,0.73,0.67,0.63,0.59,0.61,0.57,0.58,0.55,0.57,0.62,0.54
129-1,NaN,1.00,0.99,1.00,0.96,0.95,0.96,0.91,0.94,0.94,1.00,0.92,0.97,0.86,0.98,0.98,0.97,0.91,0.91,0.95,0.84,0.84,0.84,0.91,0.91,0.89,0.89,0.89,0.89,0.90,0.89,0.90,0.92,0.88,0.89,0.88,0.84,0.84,0.79,0.93,0.76,0.85,0.86,0.79,0.85,0.86,0.88,0.87,0.82,0.82,0.85,0.81,0.87,0.84,0.90,0.84,0.67,0.67,0.92,0.83,0.85,0.89,0.73,0.73,0.72,0.77,0.66,0.73,0.64,0.64,0.68,0.68,0.45,0.66,0.56,0.59,0.57,0.68
129-2,NaN,1.00,0.89,1.00,1.00,1.00,1.00,0.73,1.00,0.96,1.00,1.00,1.00,NaN,1.00,1.00,1.00,0.99,0.99,0.61,0.77,0.77,0.77,0.99,0.99,0.79,0.72,0.73,0.72,0.73,0.80,0.63,0.94,1.00,0.85,0.90,0.88,0.87,0.99,0.97,0.64,0.63,0.80,1.00,0.57,0.79,0.84,0.99,0.78,1.00,NaN,0.95,0.80,1.00,0.78,1.00,0.70,0.69,0.96,0.79,0.70,0.74,0.84,0.84,0.84,0.74,0.65,0.87,0.61,0.67,0.69,0.58,0.78,0.50,0.49,0.78,0.72,0.59
129-3,NaN,1.00,0.99,1.00,0.96,0.95,0.96,0.91,0.94,0.94,1.00,0.92,0.97,0.86,0.97,0.97,0.97,0.91,0.91,0.95,0.84,0.84,0.84,0.91,0.91,0.89,0.89,0.89,0.89,0.90,0.89,0.90,0.92,0.88,0.90,0.88,0.85,0.85,0.79,0.92,0.76,0.85,0.86,0.79,0.85,0.86,0.88,0.87,0.82,0.82,0.85,0.81,0.88,0.84,0.89,0.84,0.67,0.67,0.92,0.83,0.85,0.88,0.73,0.72,0.75,0.77,0.65,0.73,0.64,0.64,0.68,0.69,0.46,0.67,0.56,0.58,0.59,0.68
130-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
130-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
130-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
131-1,NaN,0.82,1.00,0.92,0.81,0.99,0.96,0.91,0.88,0.94,0.95,0.98,0.59,0.91,0.55,0.55,0.55,0.95,0.95,0.97,0.88,0.88,0.88,0.97,0.97,0.92,0.53,0.53,0.53,0.94,0.91,0.74,0.94,0.92,0.91,0.74,0.83,0.83,1.00,0.89,0.58,0.74,0.84,1.00,0.59,0.84,0.88,0.86,0.77,0.87,0.92,0.90,0.84,0.92,0.71,0.86,0.50,0.50,0.81,0.63,0.81,0.78,0.50,0.50,0.50,0.71,0.54,0.50,0.56,0.53,0.62,0.74,0.52,0.71,0.50,0.50,0.50,0.50
131-2,NaN,0.73,1.00,0.96,0.75,0.99,0.96,0.85,0.88,0.94,1.00,0.93,0.60,0.92,0.55,0.55,0.55,0.94,0.94,0.97,0.86,0.86,0.86,0.90,0.90,0.92,0.53,0.53,0.53,0.93,0.91,0.73,0.97,0.93,0.86,0.74,0.79,0.79,1.00,0.89,0.58,0.73,0.83,1.00,0.55,0.83,0.88,0.85,0.74,0.96,0.91,0.93,0.83,0.92,0.73,0.86,0.50,0.50,0.85,0.69,0.85,0.80,0.50,0.50,0.50,0.68,0.54,0.50,0.55,0.54,0.59,0.72,0.49,0.70,0.50,0.50,0.50,0.50
131-3,NaN,1.00,1.00,0.96,0.96,0.99,0.96,0.94,0.93,0.92,0.95,0.95,0.85,0.91,0.84,0.84,0.84,0.97,0.97,0.97,0.94,0.94,0.94,0.91,0.91,0.91,0.64,0.64,0.64,0.94,0.90,0.94,0.94,0.90,0.89,0.81,0.80,0.80,0.95,0.89,0.63,0.95,0.84,0.99,0.78,0.84,0.89,0.92,0.76,0.95,0.95,0.92,0.81,0.92,0.78,0.92,0.58,0.58,0.83,0.70,0.77,0.75,0.58,0.58,0.58,0.68,0.58,0.54,0.59,0.57,0.60,0.68,0.53,0.65,0.52,0.53,0.51,0.49
132-1,NaN,1.00,0.99,0.99,0.95,0.98,0.95,0.95,0.94,0.93,0.92,0.98,0.88,0.89,0.79,0.89,0.87,0.90,0.96,0.98,0.92,0.92,0.95,0.94,0.94,0.87,0.85,0.85,0.85,0.94,0.85,0.85,0.94,0.93,0.89,0.80,0.82,0.84,0.82,0.91,0.85,0.83,0.81,0.94,0.82,0.81,0.89,0.92,0.82,0.90,0.92,0.92,0.85,0.94,0.80,0.90,0.73,0.73,0.85,0.83,0.80,0.84,0.73,0.72,0.76,0.73,0.72,0.71,0.69,0.70,0.70,0.70,0.56,0.67,0.52,0.47,0.49,0.55
132-2,NaN,1.00,0.99,0.99,0.95,0.98,0.95,0.95,0.94,0.95,0.92,0.98,0.88,0.89,0.79,0.89,0.87,0.89,0.96,0.98,0.91,0.92,0.95,0.94,0.93,0.87,0.85,0.85,0.85,0.94,0.85,0.84,0.94,0.91,0.88,0.80,0.81,0.83,0.82,0.97,0.85,0.84,0.82,0.94,0.82,0.81,0.89,0.92,0.82,0.89,0.92,0.92,0.82,0.94,0.78,0.89,0.73,0.73,0.89,0.83,0.80,0.87,0.75,0.75,0.79,0.71,0.72,0.73,0.64,0.70,0.66,0.70,0.56,0.68,0.52,0.47,0.49,0.55
65-1,NaN,1.00,0.76,0.98,0.90,0.95,0.91,0.84,0.91,0.85,0.95,0.90,0.91,0.86,0.85,0.98,0.94,0.95,0.96,0.94,0.82,0.82,0.82,0.97,0.96,0.74,0.79,0.78,0.79,0.85,0.74,0.79,0.75,0.85,0.96,0.85,0.91,0.91,0.94,0.98,0.86,0.82,0.72,0.95,0.76,0.73,0.76,0.89,0.90,0.91,0.87,0.82,0.89,0.88,0.89,0.88,0.84,0.84,0.96,0.82,0.93,0.91,0.80,0.85,0.91,0.76,0.61,0.80,0.66,0.75,0.61,0.69,0.39,0.67,0.63,0.47,0.44,0.49
65-2,NaN,1.00,0.97,0.98,0.91,0.99,0.91,0.88,0.91,0.91,0.94,0.89,0.89,0.89,0.83,0.94,0.91,0.95,0.96,0.96,0.87,0.87,0.87,0.96,0.96,0.80,0.80,0.79,0.80,0.88,0.80,0.93,0.82,0.88,0.95,0.86,0.92,0.92,0.93,0.98,0.85,0.92,0.75,0.94,0.84,0.76,0.81,0.88,0.90,0.93,0.87,0.86,0.88,0.88,0.88,0.87,0.81,0.81,0.96,0.86,0.92,0.90,0.84,0.96,0.97,0.79,0.62,0.85,0.68,0.79,0.64,0.74,0.48,0.75,0.63,0.48,0.45,0.49
65-3,NaN,1.00,0.85,0.98,0.92,0.94,0.92,0.89,0.91,0.90,0.93,0.89,0.90,0.90,0.84,0.94,0.89,0.95,0.96,0.93,0.80,0.80,0.80,0.97,0.96,0.77,0.80,0.80,0.81,0.85,0.75,0.88,0.76,0.82,0.96,0.87,0.92,0.92,0.94,0.98,0.78,0.88,0.72,0.95,0.88,0.73,0.78,0.88,0.90,0.91,0.87,0.83,0.89,0.89,0.90,0.87,0.75,0.75,0.96,0.86,0.93,0.91,0.85,0.91,0.96,0.76,0.61,0.81,0.66,0.71,0.62,0.71,0.47,0.70,0.66,0.47,0.47,0.48
68-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
68-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
69-1,NaN,NaN,0.99,0.98,0.43,0.99,0.42,1.00,0.95,0.91,1.00,0.92,1.00,0.96,NaN,NaN,NaN,0.98,0.98,0.97,0.98,0.98,0.98,0.90,0.90,0.97,0.79,0.79,0.78,0.95,0.97,0.99,0.86,0.77,0.89,0.83,0.91,0.91,1.00,1.00,0.99,0.66,0.90,1.00,NaN,0.90,0.84,0.99,0.91,0.90,0.99,0.85,0.89,0.99,0.94,0.99,NaN,NaN,1.00,0.44,1.00,0.96,NaN,NaN,NaN,0.77,0.60,NaN,0.72,0.96,0.79,0.83,0.46,0.83,0.66,0.81,0.75,0.47
69-2,NaN,1.00,1.00,0.99,0.96,0.99,0.96,0.97,0.94,0.96,0.98,0.95,0.96,0.90,0.96,0.96,0.96,0.94,0.94,0.95,0.96,0.96,0.95,0.95,0.95,0.95,0.79,0.79,0.78,0.94,0.95,0.89,0.89,0.88,0.86,0.86,0.79,0.79,0.96,0.93,0.86,0.84,0.87,0.96,0.67,0.87,0.85,0.93,0.74,0.93,0.93,0.89,0.82,0.94,0.77,0.93,0.73,0.73,0.91,0.78,0.81,0.87,0.76,0.76,0.76,0.66,0.63,0.71,0.78,0.61,0.75,0.67,0.50,0.65,0.68,0.51,0.51,0.52
