ID-model,GO:0008150,GO:2001141,GO:0051252,GO:0010556,GO:0031326,GO:0009889,GO:2000112,GO:0006508,GO:0019219,GO:0051171,GO:0031324,GO:0019538,GO:0009892,GO:0080090,GO:0031323,GO:0043170,GO:0010468,GO:0060255,GO:0090304,GO:0006725,GO:0051641,GO:0006810,GO:0044260,GO:0008152,GO:0006139,GO:0071704,GO:0048523,GO:0046483,GO:0048519,GO:0006807,GO:0034641,GO:1901360,GO:0019222,GO:0044238,GO:0051234,GO:0065008,GO:0048522,GO:0048518,GO:0044237,GO:0007010,GO:0007154,GO:0051716,GO:0050794,GO:0048869,GO:0051179,GO:0030154,GO:0002244,GO:0051128,GO:0050789,GO:0065007,GO:0048468,GO:0048583,GO:0044763,GO:0051239,GO:0002376,GO:0044699,GO:0006996,GO:0006950,GO:0050896,GO:0009987,GO:0048731,GO:0023051,GO:0042221,GO:0010646,GO:0071840,GO:0016043,GO:0050793,GO:0048513,GO:0032502,GO:0044707,GO:0032501,GO:0007275,GO:0048856,GO:0051049,GO:0030097,GO:0048534,GO:0044767,GO:0002520,GO:0032879
115-1,NaN,0.90,0.90,0.90,0.90,0.90,0.90,0.98,0.89,0.89,0.81,0.92,0.79,0.86,0.85,0.84,0.82,0.80,0.83,0.81,0.73,0.71,0.83,0.79,0.80,0.79,0.65,0.81,0.66,0.80,0.79,0.80,0.73,0.78,0.74,0.64,0.68,0.66,0.76,0.84,0.70,0.54,0.74,0.67,0.73,0.65,0.50,0.61,0.72,0.68,0.65,0.61,0.63,0.65,0.62,0.63,0.72,0.58,0.57,0.55,0.62,0.56,0.65,0.56,0.70,0.66,0.56,0.58,0.68,0.60,0.60,0.64,0.62,0.42,0.55,0.53,0.55,0.52,0.42
116-1,NaN,0.74,0.69,0.71,0.71,0.71,0.73,0.84,0.67,0.67,0.48,0.82,0.48,0.65,0.63,0.74,0.74,0.71,0.52,0.48,0.65,0.74,0.57,0.74,0.49,0.68,0.60,0.48,0.60,0.48,0.49,0.48,0.63,0.69,0.77,0.50,0.52,0.54,0.61,0.49,0.68,0.55,0.64,0.52,0.71,0.48,0.50,0.59,0.63,0.60,0.49,0.55,0.69,0.50,0.48,0.70,0.51,0.48,0.50,0.64,0.56,0.49,0.49,0.49,0.54,0.52,0.50,0.49,0.54,0.53,0.55,0.53,0.58,0.49,0.50,0.50,0.56,0.50,0.49
116-2,NaN,0.74,0.66,0.74,0.74,0.74,0.74,0.86,0.66,0.66,NaN,0.78,NaN,0.66,0.66,0.72,0.61,0.61,0.49,0.49,0.97,0.77,0.45,0.69,0.49,0.66,0.58,0.49,0.58,0.47,0.49,0.49,0.61,0.66,0.77,0.49,0.50,0.50,0.50,0.49,0.57,0.49,0.64,0.47,0.68,0.47,0.50,0.75,0.62,0.61,0.49,0.50,0.64,0.50,0.50,0.61,0.47,0.49,0.47,0.63,0.55,0.50,0.49,0.50,0.63,0.63,0.50,0.50,0.51,0.58,0.58,0.54,0.54,0.49,0.50,0.50,0.56,0.50,0.49
117-1,NaN,0.86,0.84,0.81,0.80,0.79,0.77,0.88,0.82,0.81,0.78,0.79,0.73,0.71,0.69,0.78,0.69,0.68,0.76,0.70,0.60,0.71,0.78,0.75,0.73,0.74,0.57,0.71,0.57,0.75,0.70,0.70,0.59,0.73,0.64,0.62,0.64,0.62,0.74,0.59,0.63,0.60,0.65,0.51,0.62,0.53,0.54,0.55,0.59,0.60,0.57,0.61,0.50,0.64,0.54,0.47,0.61,0.53,0.51,0.52,0.48,0.52,0.44,0.52,0.59,0.57,0.55,0.42,0.43,0.40,0.39,0.45,0.44,0.39,0.40,0.39,0.39,0.36,0.37
117-2,NaN,0.47,0.47,0.55,0.55,0.55,0.55,0.77,0.46,0.46,0.47,0.82,0.47,0.56,0.48,0.80,0.60,0.54,0.60,0.59,0.70,0.65,0.91,0.77,0.59,0.77,0.54,0.58,0.56,0.71,0.55,0.57,0.54,0.72,0.71,0.75,0.50,0.54,0.80,0.46,0.55,0.49,0.70,0.48,0.70,0.49,0.50,0.57,0.70,0.69,0.45,0.67,0.69,0.56,0.45,0.61,0.52,0.46,0.52,0.58,0.63,0.57,0.60,0.57,0.72,0.72,0.63,0.68,0.51,0.61,0.60,0.64,0.56,0.44,0.47,0.47,0.51,0.47,0.41
119-1,NaN,0.79,0.78,0.73,0.73,0.73,0.75,0.96,0.74,0.74,0.74,0.86,0.72,0.68,0.62,0.80,0.68,0.67,0.79,0.75,0.72,0.71,0.78,0.71,0.76,0.70,0.59,0.75,0.60,0.71,0.72,0.73,0.61,0.69,0.73,0.63,0.54,0.54,0.66,0.66,0.59,0.48,0.57,0.53,0.71,0.55,0.48,0.64,0.55,0.56,0.57,0.46,0.55,0.45,0.53,0.56,0.62,0.45,0.42,0.52,0.46,0.41,0.53,0.41,0.60,0.58,0.38,0.48,0.46,0.45,0.44,0.45,0.45,0.40,0.49,0.49,0.45,0.48,0.39
120-1,NaN,0.94,0.93,0.90,0.90,0.90,0.88,0.97,0.88,0.88,0.90,0.90,0.89,0.82,0.80,0.84,0.72,0.71,0.84,0.82,0.70,0.79,0.82,0.76,0.81,0.76,0.69,0.80,0.71,0.80,0.79,0.80,0.66,0.76,0.78,0.69,0.64,0.65,0.74,0.79,0.66,0.62,0.63,0.61,0.74,0.60,0.46,0.58,0.62,0.61,0.61,0.55,0.58,0.57,0.52,0.56,0.72,0.52,0.56,0.54,0.47,0.56,0.46,0.55,0.67,0.64,0.43,0.44,0.50,0.50,0.50,0.49,0.43,0.39,0.34,0.35,0.42,0.34,0.38
120-2,NaN,0.89,0.86,0.90,0.90,0.90,0.86,0.82,0.85,0.85,0.79,0.79,0.79,0.83,0.85,0.75,0.75,0.80,0.77,0.71,0.69,0.77,0.76,0.70,0.74,0.71,0.64,0.75,0.64,0.75,0.74,0.70,0.78,0.69,0.79,0.62,0.55,0.55,0.70,0.66,0.77,0.62,0.63,0.56,0.77,0.55,0.50,0.58,0.67,0.64,0.54,0.58,0.60,0.48,0.51,0.62,0.64,0.60,0.63,0.48,0.56,0.52,0.53,0.52,0.60,0.61,0.54,0.54,0.54,0.53,0.51,0.53,0.52,0.54,0.50,0.50,0.51,0.50,0.52
120-3,NaN,0.82,0.73,0.79,0.79,0.79,0.72,0.59,0.73,0.73,0.71,0.71,0.70,0.68,0.72,0.66,0.81,0.81,0.52,0.58,0.55,0.61,0.58,0.65,0.59,0.59,0.62,0.74,0.61,0.58,0.59,0.58,0.80,0.61,0.57,0.53,0.50,0.53,0.67,0.50,0.72,0.62,0.60,0.47,0.58,0.47,0.50,0.50,0.68,0.65,0.50,0.51,0.50,0.50,0.50,0.53,0.54,0.64,0.60,0.44,0.49,0.47,0.52,0.47,0.51,0.51,0.50,0.49,0.46,0.47,0.47,0.47,0.48,0.50,0.50,0.50,0.50,0.50,0.49
121-1,NaN,0.92,0.90,0.92,0.92,0.92,0.89,0.93,0.86,0.86,0.50,0.90,0.49,0.82,0.78,0.82,0.80,0.79,0.81,0.74,0.65,0.63,0.79,0.78,0.74,0.74,0.49,0.74,0.48,0.74,0.74,0.73,0.70,0.70,0.65,0.49,0.49,0.49,0.71,0.49,0.46,0.45,0.67,0.49,0.63,0.49,0.50,0.49,0.65,0.65,0.50,0.49,0.63,0.49,0.56,0.66,0.75,0.53,0.47,0.57,0.56,0.49,0.47,0.49,0.69,0.69,0.49,0.52,0.51,0.53,0.53,0.54,0.53,0.55,0.50,0.50,0.52,0.50,0.55
121-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.00,NaN,NaN,NaN,1.00,NaN,NaN,NaN,1.00,0.44,0.44,NaN,NaN,0.43,0.71,NaN,1.00,NaN,0.79,NaN,NaN,NaN,NaN,NaN,NaN,0.44,0.75,0.71,0.42,0.44,0.44,0.86,NaN,0.43,0.38,0.81,0.50,0.71,0.50,NaN,0.44,0.75,0.61,0.50,NaN,0.60,0.44,0.50,0.83,NaN,0.38,0.29,0.21,0.88,0.44,0.31,0.44,NaN,NaN,NaN,0.88,0.88,0.61,0.61,0.88,0.88,0.88,0.50,0.50,0.88,0.50,0.88
121-3,NaN,0.92,0.93,0.87,0.87,0.87,0.84,0.92,0.89,0.89,0.73,0.88,0.73,0.82,0.81,0.84,0.81,0.80,0.80,0.74,0.80,0.77,0.82,0.76,0.74,0.74,0.66,0.75,0.68,0.75,0.74,0.73,0.72,0.72,0.76,0.63,0.44,0.43,0.72,0.82,0.43,0.42,0.66,0.49,0.71,0.49,0.50,0.53,0.64,0.62,0.47,0.65,0.67,0.46,0.55,0.69,0.73,0.57,0.47,0.59,0.54,0.55,0.45,0.55,0.71,0.67,0.46,0.54,0.50,0.54,0.53,0.56,0.54,0.51,0.50,0.50,0.55,0.50,0.51
122-1,NaN,0.80,0.76,0.86,0.86,0.86,0.81,0.85,0.72,0.72,0.76,0.80,0.75,0.76,0.68,0.80,0.73,0.69,0.67,0.70,0.62,0.78,0.80,0.82,0.68,0.76,0.63,0.70,0.66,0.74,0.67,0.69,0.63,0.74,0.73,0.59,0.55,0.58,0.78,0.59,0.61,0.65,0.69,0.50,0.68,0.50,0.50,0.54,0.67,0.65,0.49,0.56,0.63,0.51,0.55,0.61,0.59,0.52,0.57,0.63,0.48,0.54,0.60,0.54,0.58,0.58,0.49,0.51,0.48,0.47,0.47,0.46,0.48,0.48,0.50,0.50,0.49,0.50,0.47
124-1,NaN,0.92,0.85,0.92,0.92,0.92,0.91,0.95,0.83,0.82,0.83,0.76,0.83,0.77,0.72,0.48,0.72,0.71,0.73,0.67,0.54,0.58,0.65,0.51,0.75,0.48,0.64,0.68,0.64,0.65,0.72,0.65,0.64,0.49,0.56,0.67,0.54,0.53,0.66,0.73,0.68,0.51,0.47,0.58,0.58,0.54,0.48,0.45,0.47,0.46,0.61,0.62,0.47,0.46,0.48,0.42,0.72,0.48,0.53,0.47,0.52,0.58,0.57,0.57,0.66,0.66,0.56,0.47,0.55,0.52,0.52,0.51,0.57,0.52,0.34,0.34,0.56,0.34,0.49
124-2,NaN,0.59,0.57,0.44,0.44,0.44,0.46,0.91,0.42,0.42,0.60,0.75,0.60,0.33,0.36,0.34,0.47,0.37,0.38,0.33,0.47,0.50,0.40,0.36,0.34,0.34,0.51,0.33,0.52,0.33,0.34,0.32,0.40,0.37,0.49,0.50,0.54,0.56,0.39,0.55,0.51,0.45,0.38,0.48,0.47,0.48,0.50,0.46,0.41,0.43,0.48,0.58,0.46,0.53,0.53,0.43,0.54,0.52,0.53,0.47,0.47,0.54,0.49,0.54,0.48,0.49,0.53,0.46,0.46,0.53,0.53,0.48,0.46,0.54,0.50,0.50,0.47,0.50,0.54
124-3,NaN,0.86,0.80,0.86,0.86,0.86,0.84,0.88,0.78,0.78,0.79,0.41,0.79,0.77,0.72,0.43,0.72,0.71,0.74,0.68,0.55,0.57,0.66,0.47,0.76,0.42,0.63,0.68,0.64,0.66,0.73,0.66,0.64,0.43,0.55,0.68,0.54,0.53,0.66,0.73,0.65,0.53,0.47,0.59,0.55,0.55,0.48,0.45,0.47,0.46,0.61,0.61,0.48,0.44,0.48,0.42,0.70,0.46,0.53,0.47,0.53,0.57,0.57,0.57,0.64,0.64,0.57,0.47,0.58,0.49,0.49,0.52,0.58,0.47,0.34,0.34,0.57,0.34,0.41
125-1,NaN,0.93,0.93,0.87,0.88,0.87,0.86,0.95,0.89,0.89,0.88,0.91,0.87,0.81,0.80,0.85,0.73,0.71,0.76,0.73,0.73,0.83,0.80,0.77,0.75,0.77,0.67,0.69,0.67,0.73,0.70,0.72,0.66,0.77,0.83,0.60,0.65,0.63,0.74,0.81,0.68,0.64,0.62,0.61,0.77,0.61,0.49,0.61,0.62,0.61,0.63,0.57,0.59,0.55,0.50,0.57,0.68,0.54,0.58,0.55,0.48,0.57,0.47,0.57,0.65,0.62,0.41,0.44,0.50,0.51,0.49,0.51,0.44,0.41,0.42,0.42,0.42,0.41,0.40
125-2,NaN,0.88,0.86,0.87,0.87,0.86,0.85,0.94,0.78,0.78,0.81,0.85,0.80,0.73,0.70,0.80,0.76,0.73,0.79,0.73,0.72,0.82,0.79,0.70,0.74,0.73,0.60,0.74,0.62,0.72,0.73,0.72,0.62,0.74,0.77,0.68,0.63,0.60,0.67,0.67,0.64,0.50,0.58,0.57,0.71,0.58,0.50,0.58,0.54,0.53,0.58,0.60,0.58,0.50,0.54,0.54,0.58,0.48,0.47,0.52,0.53,0.60,0.55,0.60,0.56,0.55,0.46,0.51,0.50,0.58,0.56,0.55,0.47,0.50,0.48,0.48,0.45,0.47,0.46
125-3,NaN,0.88,0.83,0.84,0.84,0.83,0.84,0.88,0.76,0.76,0.83,0.78,0.81,0.71,0.66,0.75,0.68,0.66,0.74,0.70,0.69,0.73,0.77,0.68,0.73,0.67,0.57,0.71,0.58,0.70,0.66,0.69,0.57,0.65,0.71,0.73,0.59,0.58,0.69,0.73,0.67,0.65,0.55,0.53,0.69,0.55,0.50,0.60,0.52,0.54,0.62,0.59,0.59,0.59,0.51,0.54,0.69,0.58,0.56,0.54,0.45,0.56,0.59,0.56,0.60,0.59,0.43,0.48,0.40,0.44,0.42,0.44,0.39,0.47,0.40,0.40,0.40,0.39,0.41
126-1,NaN,0.98,0.98,0.86,0.86,0.86,0.86,0.75,0.98,0.98,0.73,0.74,0.73,0.86,0.68,0.85,0.73,0.73,0.68,0.68,1.00,0.96,0.84,0.87,0.68,0.84,0.68,0.68,0.68,0.68,0.68,0.68,0.65,0.77,1.00,0.68,0.60,0.60,0.83,0.50,0.42,0.46,0.63,0.47,1.00,0.47,0.50,0.44,0.63,0.49,0.50,0.50,0.53,0.50,0.61,0.62,0.64,0.46,0.38,0.51,0.56,0.50,0.44,0.50,0.56,0.59,0.50,0.58,0.64,0.49,0.49,0.56,0.53,0.50,0.50,0.50,0.53,0.50,0.50
127-1,NaN,0.89,0.88,0.87,0.86,0.86,0.81,0.90,0.85,0.85,0.75,0.86,0.74,0.79,0.74,0.82,0.72,0.74,0.75,0.77,0.83,0.75,0.83,0.78,0.77,0.77,0.58,0.77,0.60,0.73,0.73,0.75,0.68,0.75,0.76,0.49,0.53,0.52,0.75,0.62,0.61,0.53,0.65,0.56,0.72,0.57,0.48,0.66,0.61,0.58,0.54,0.56,0.50,0.53,0.48,0.53,0.56,0.42,0.40,0.46,0.37,0.44,0.51,0.45,0.54,0.51,0.59,0.35,0.48,0.48,0.46,0.39,0.38,0.48,0.43,0.42,0.42,0.41,0.49
127-2,NaN,0.90,0.88,0.85,0.85,0.84,0.83,0.93,0.85,0.83,0.81,0.85,0.78,0.78,0.76,0.78,0.73,0.73,0.74,0.73,0.85,0.85,0.78,0.76,0.75,0.73,0.55,0.74,0.55,0.72,0.70,0.72,0.68,0.74,0.86,0.58,0.56,0.55,0.75,0.70,0.62,0.55,0.65,0.55,0.81,0.57,0.50,0.63,0.61,0.57,0.62,0.59,0.54,0.56,0.55,0.52,0.58,0.54,0.44,0.46,0.45,0.56,0.57,0.56,0.55,0.53,0.54,0.46,0.50,0.49,0.48,0.48,0.48,0.41,0.55,0.53,0.44,0.52,0.37
127-3,NaN,0.53,0.47,0.53,0.53,0.53,0.56,0.49,0.42,0.42,0.51,0.53,0.51,0.42,0.36,0.48,0.54,0.46,0.45,0.45,0.61,0.82,0.41,0.56,0.45,0.50,0.38,0.45,0.38,0.45,0.45,0.45,0.40,0.48,0.61,0.66,0.53,0.59,0.51,0.50,0.47,0.31,0.39,0.53,0.52,0.56,0.50,0.45,0.38,0.40,0.62,0.40,0.40,0.48,0.67,0.37,0.44,0.39,0.48,0.42,0.47,0.41,0.30,0.41,0.38,0.38,0.41,0.50,0.47,0.38,0.40,0.47,0.42,0.50,0.45,0.61,0.41,0.61,0.55
128-1,NaN,0.77,0.75,0.69,0.75,0.74,0.67,0.80,0.74,0.78,0.72,0.79,0.69,0.70,0.64,0.71,0.53,0.59,0.76,0.66,0.74,0.78,0.63,0.62,0.71,0.62,0.48,0.64,0.43,0.54,0.61,0.63,0.55,0.64,0.80,0.50,0.51,0.45,0.47,0.53,0.63,0.49,0.52,0.55,0.74,0.55,0.50,0.46,0.50,0.49,0.62,0.69,0.51,0.53,0.45,0.48,0.44,0.42,0.52,0.42,0.52,0.59,0.48,0.58,0.53,0.51,0.40,0.45,0.53,0.49,0.48,0.53,0.50,0.31,0.51,0.51,0.44,0.50,0.28
129-1,NaN,0.86,0.91,0.83,0.84,0.83,0.80,0.82,0.89,0.89,0.85,0.77,0.84,0.84,0.77,0.74,0.73,0.75,0.82,0.78,0.89,0.87,0.76,0.72,0.79,0.69,0.56,0.78,0.53,0.75,0.76,0.76,0.68,0.67,0.90,0.56,0.60,0.56,0.71,0.67,0.64,0.49,0.65,0.56,0.82,0.54,0.49,0.58,0.59,0.54,0.58,0.66,0.49,0.56,0.52,0.48,0.58,0.47,0.49,0.50,0.51,0.51,0.49,0.50,0.61,0.58,0.53,0.46,0.50,0.50,0.49,0.51,0.47,0.28,0.37,0.36,0.48,0.36,0.34
129-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
129-3,NaN,0.86,0.91,0.83,0.84,0.83,0.80,0.82,0.89,0.89,0.85,0.77,0.84,0.84,0.77,0.74,0.73,0.75,0.82,0.78,0.89,0.87,0.76,0.72,0.79,0.69,0.56,0.78,0.53,0.75,0.76,0.76,0.68,0.67,0.90,0.56,0.60,0.56,0.71,0.67,0.64,0.49,0.65,0.56,0.82,0.54,0.49,0.58,0.59,0.54,0.58,0.66,0.49,0.56,0.52,0.48,0.58,0.47,0.49,0.50,0.51,0.51,0.49,0.50,0.61,0.58,0.53,0.46,0.50,0.50,0.49,0.51,0.47,0.28,0.37,0.36,0.48,0.36,0.34
130-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
130-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
130-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
131-1,NaN,0.83,0.82,0.79,0.79,0.79,0.85,0.91,0.77,0.77,0.69,0.86,0.69,0.72,0.68,0.83,0.73,0.70,0.80,0.75,0.69,0.77,0.79,0.79,0.75,0.75,0.65,0.75,0.66,0.75,0.74,0.74,0.62,0.74,0.77,0.58,0.54,0.54,0.73,0.65,0.58,0.56,0.66,0.54,0.71,0.55,0.50,0.55,0.64,0.58,0.50,0.56,0.60,0.56,0.50,0.63,0.63,0.52,0.51,0.56,0.59,0.57,0.52,0.57,0.64,0.62,0.49,0.59,0.55,0.59,0.57,0.58,0.57,0.52,0.50,0.50,0.54,0.50,0.52
131-2,NaN,0.86,0.84,0.82,0.82,0.82,0.83,0.95,0.79,0.79,0.78,0.89,0.77,0.74,0.68,0.85,0.73,0.70,0.80,0.75,0.69,0.78,0.81,0.80,0.75,0.77,0.65,0.76,0.66,0.75,0.74,0.74,0.62,0.76,0.77,0.56,0.48,0.50,0.74,0.63,0.59,0.62,0.63,0.53,0.72,0.53,0.50,0.56,0.62,0.58,0.50,0.60,0.64,0.50,0.51,0.65,0.62,0.52,0.56,0.59,0.56,0.53,0.56,0.53,0.68,0.66,0.48,0.53,0.53,0.56,0.55,0.53,0.55,0.52,0.50,0.50,0.51,0.50,0.51
131-3,NaN,0.84,0.86,0.84,0.83,0.83,0.83,0.93,0.78,0.77,0.76,0.84,0.76,0.73,0.75,0.79,0.73,0.74,0.76,0.70,0.81,0.88,0.74,0.74,0.68,0.72,0.61,0.70,0.62,0.74,0.69,0.69,0.66,0.71,0.88,0.57,0.63,0.61,0.66,0.63,0.58,0.51,0.71,0.58,0.83,0.61,0.50,0.62,0.66,0.61,0.51,0.62,0.63,0.58,0.49,0.65,0.58,0.54,0.53,0.51,0.58,0.62,0.51,0.62,0.64,0.63,0.53,0.57,0.56,0.59,0.58,0.61,0.52,0.45,0.52,0.51,0.49,0.51,0.41
132-1,NaN,0.86,0.89,0.83,0.82,0.82,0.86,0.77,0.85,0.85,0.77,0.75,0.76,0.79,0.72,0.75,0.67,0.70,0.74,0.75,0.71,0.73,0.82,0.72,0.77,0.68,0.66,0.75,0.69,0.76,0.74,0.73,0.65,0.67,0.71,0.64,0.65,0.61,0.71,0.70,0.55,0.48,0.62,0.57,0.67,0.57,0.45,0.53,0.59,0.60,0.51,0.61,0.59,0.60,0.48,0.58,0.63,0.53,0.48,0.53,0.50,0.50,0.44,0.49,0.59,0.56,0.49,0.48,0.53,0.49,0.50,0.50,0.53,0.39,0.35,0.33,0.47,0.34,0.35
132-2,NaN,0.86,0.89,0.81,0.80,0.80,0.82,0.77,0.86,0.85,0.75,0.75,0.73,0.78,0.71,0.74,0.66,0.70,0.74,0.75,0.71,0.72,0.81,0.71,0.77,0.67,0.64,0.74,0.66,0.76,0.74,0.73,0.65,0.66,0.70,0.70,0.64,0.60,0.71,0.70,0.55,0.46,0.62,0.61,0.68,0.62,0.45,0.50,0.59,0.61,0.56,0.62,0.59,0.59,0.50,0.58,0.56,0.52,0.49,0.57,0.53,0.52,0.45,0.51,0.55,0.53,0.49,0.53,0.57,0.52,0.54,0.53,0.56,0.41,0.36,0.34,0.51,0.35,0.37
65-1,NaN,0.73,0.78,0.64,0.61,0.60,0.57,0.84,0.76,0.75,0.69,0.57,0.73,0.67,0.60,0.51,0.61,0.61,0.61,0.57,0.55,0.58,0.57,0.54,0.56,0.46,0.58,0.58,0.56,0.56,0.55,0.57,0.58,0.43,0.54,0.64,0.46,0.50,0.60,0.72,0.41,0.48,0.53,0.58,0.51,0.57,0.48,0.42,0.54,0.54,0.45,0.53,0.50,0.64,0.63,0.51,0.53,0.52,0.53,0.54,0.62,0.55,0.45,0.54,0.50,0.49,0.53,0.58,0.60,0.57,0.59,0.63,0.60,0.54,0.60,0.60,0.59,0.58,0.55
65-2,NaN,0.73,0.78,0.67,0.66,0.65,0.64,0.84,0.76,0.74,0.69,0.56,0.72,0.70,0.66,0.54,0.64,0.65,0.72,0.66,0.60,0.57,0.65,0.56,0.65,0.49,0.57,0.66,0.55,0.63,0.63,0.66,0.62,0.46,0.57,0.63,0.50,0.54,0.66,0.71,0.40,0.52,0.55,0.58,0.53,0.57,0.47,0.46,0.56,0.56,0.44,0.52,0.52,0.63,0.63,0.52,0.59,0.56,0.55,0.55,0.61,0.54,0.50,0.53,0.53,0.53,0.52,0.58,0.59,0.56,0.58,0.63,0.60,0.59,0.59,0.59,0.58,0.57,0.60
65-3,NaN,0.73,0.78,0.62,0.60,0.60,0.57,0.83,0.76,0.75,0.70,0.55,0.71,0.67,0.60,0.49,0.61,0.62,0.61,0.58,0.52,0.58,0.57,0.53,0.56,0.46,0.58,0.57,0.56,0.56,0.55,0.57,0.57,0.43,0.54,0.62,0.45,0.50,0.60,0.71,0.41,0.48,0.53,0.58,0.51,0.56,0.48,0.42,0.54,0.54,0.42,0.53,0.50,0.64,0.64,0.50,0.52,0.52,0.53,0.55,0.62,0.53,0.45,0.53,0.48,0.49,0.52,0.58,0.59,0.57,0.59,0.63,0.60,0.54,0.60,0.59,0.58,0.58,0.54
68-1,NaN,0.76,0.72,0.78,0.78,0.78,0.74,0.78,0.73,0.73,0.69,0.69,0.71,0.70,0.66,0.50,0.73,0.67,0.60,0.63,0.70,0.58,0.55,0.57,0.62,0.53,0.59,0.63,0.62,0.62,0.61,0.63,0.64,0.51,0.60,0.54,0.53,0.53,0.61,0.71,0.54,0.49,0.59,0.49,0.57,0.49,0.48,0.60,0.56,0.52,0.61,0.46,0.50,0.47,0.51,0.42,0.55,0.56,0.48,0.54,0.49,0.44,0.50,0.42,0.51,0.51,0.54,0.54,0.45,0.48,0.50,0.48,0.46,0.42,0.45,0.44,0.45,0.43,0.38
68-2,NaN,0.72,0.73,0.74,0.74,0.73,0.69,0.85,0.74,0.74,0.68,0.73,0.74,0.71,0.67,0.52,0.71,0.68,0.60,0.63,0.70,0.57,0.54,0.56,0.62,0.53,0.56,0.63,0.63,0.62,0.61,0.63,0.66,0.52,0.59,0.54,0.53,0.53,0.60,0.70,0.58,0.57,0.57,0.50,0.54,0.52,0.48,0.61,0.56,0.51,0.61,0.53,0.51,0.46,0.51,0.43,0.52,0.54,0.50,0.51,0.51,0.40,0.55,0.39,0.51,0.51,0.51,0.54,0.49,0.51,0.53,0.53,0.48,0.39,0.49,0.48,0.48,0.48,0.38
69-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
69-2,NaN,0.85,0.84,0.86,0.86,0.86,0.84,0.87,0.85,0.85,0.83,0.84,0.76,0.79,0.77,0.74,0.76,0.75,0.84,0.84,0.80,0.71,0.79,0.70,0.84,0.71,0.61,0.84,0.57,0.82,0.82,0.83,0.67,0.70,0.74,0.65,0.67,0.68,0.73,0.79,0.55,0.54,0.69,0.68,0.74,0.67,0.48,0.63,0.70,0.67,0.66,0.63,0.62,0.72,0.63,0.62,0.66,0.65,0.62,0.64,0.61,0.58,0.55,0.58,0.64,0.63,0.55,0.63,0.65,0.59,0.60,0.62,0.63,0.45,0.49,0.49,0.57,0.48,0.44
